Rank,Issn,,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
145,1545-7885,,11.771,12.807,7.064,,,
146,1752-0894,,11.668,13.930,7.892,,,
147,1545-9993,,11.633,12.338,7.452,,,
148,1389-5567,,11.625,14.424,3.378,,,
149,0168-9525,,11.597,10.213,5.233,,,
150,0003-0007,,11.574,9.604,5.281,,,
151,1063-5157,,11.532,14.219,5.467,,,
152,0002-7863,,11.444,11.015,3.072,,,
153,1554-8627,,11.423,9.257,3.252,,,
154,1433-7851,,11.336,11.700,3.242,,,
155,0066-4189,,11.260,14.791,8.148,,,
156,0091-6749,,11.248,9.664,2.852,,,
157,0270-9139,,11.190,11.532,3.818,,,
158,0009-7330,,11.089,10.759,3.835,,,
159,0078-3218,,11.083,10.194,3.823,,,
160,0066-4286,,11.000,13.800,4.713,,,
161,0002-9297,,10.987,10.781,5.087,,,
162,1543-592X,,10.977,19.806,9.007,,,
163,1369-7021,,10.850,9.579,3.242,,,
164,1759-5045,,10.807,10.340,3.896,,,
165,0261-4189,,10.748,10.168,5.568,,,
166,2041-1723,,10.742,11.023,5.667,,,
167,0265-0568,,10.715,10.353,3.238,,,
168,1465-6906,,10.465,10.632,5.623,,,
169,0199-9885,,10.459,10.889,3.510,,,
170,1616-301X,,10.439,11.210,2.960,,,
171,0168-8278,,10.401,9.557,3.104,,,
172,8755-1209,,10.400,13.792,7.879,,,
173,1534-5807,,10.366,13.012,7.402,,,
174,0098-2997,,10.302,11.214,3.289,,,
175,0301-0082,,10.301,10.570,3.480,,,
176,0149-7634,,10.284,11.075,3.731,,,
177,1759-4790,,10.252,9.608,3.598,,,
178,0006-8950,,10.226,10.846,3.874,,,
179,2211-2855,,10.211,10.211,2.380,,,
180,0084-6597,,10.188,11.640,6.834,,,
181,1759-5002,,10.154,10.058,3.816,,,
182,1471-4914,,10.110,10.292,3.728,,,
183,0033-5835,,10.083,11.868,6.186,,,
184,0167-7799,,10.040,10.655,3.070,,,
185,0165-6147,,9.988,10.390,3.649,,,
186,1745-6916,,9.955,8.496,4.250,,,
187,1077-5552,,9.929,6.103,1.801,,,
188,0960-9822,,9.916,10.227,5.308,,,
189,1884-4049,,9.902,10.964,3.563,,,
190,1350-9462,,9.897,11.207,3.614,,,
191,0027-8424,,9.809,10.727,4.878,,,
192,0966-842X,,9.808,8.850,3.392,,,
193,0301-5556,,9.800,5.667,1.751,,,
194,1464-7931,,9.790,10.912,4.186,,,
195,0021-9525,,9.786,10.437,5.492,,,
196,0001-6322,,9.777,8.854,3.082,,,
197,0006-4971,,9.775,9.609,3.697,,,
198,1062-7995,,9.696,8.342,2.378,,,
199,1943-8206,,9.688,18.194,7.999,,,
200,1567-5688,,9.667,3.818,0.849,,,
201,1040-4651,,9.575,10.656,3.815,,,
202,1571-0645,,9.478,8.322,2.781,,,
203,0006-3223,,9.472,10.347,3.332,,,
204,1046-6673,,9.466,9.062,3.250,,,
205,1058-4838,,9.416,9.177,3.315,,,
206,2157-6904,,9.390,8.504,3.500,,,
207,1369-5266,,9.385,9.825,3.486,,,
208,0887-6924,,9.379,8.657,3.257,,,
209,0033-3190,,9.370,7.024,1.961,,,
209,0033-3190,,9.370,7.024,1.961,,,
211,1863-8880,,9.313,9.177,3.735,,,
212,0166-0616,,9.296,8.683,2.562,,,
213,0008-5472,,9.284,8.958,3.212,,,
214,0003-4967,,9.270,8.632,2.655,,,
215,1751-7362,,9.267,9.296,3.127,,,
216,0002-9270,,9.213,8.048,2.818,,,
217,0300-5771,,9.197,8.000,3.392,,,
218,1044-579X,,9.143,8.492,3.226,,,
219,1087-0792,,9.141,9.320,3.201,,,
220,1527-8204,,9.132,12.730,6.246,,,
221,1759-0876,,9.041,9.041,2.609,,,
222,0734-9750,,8.905,11.211,2.797,,,
223,1043-2760,,8.868,8.936,3.324,,,
224,1368-7646,,8.816,9.667,2.929,,,
225,0305-1048,,8.808,8.378,3.377,,,
226,1551-3203,,8.785,6.874,1.685,,,
227,1467-2960,,8.755,8.522,3.656,,,
228,0959-440X,,8.747,9.113,4.539,,,
229,0955-0674,,8.736,10.843,5.416,,,
230,0079-6565,,8.711,6.853,2.403,,,
231,1355-4786,,8.657,9.464,3.253,,,
232,0001-8686,,8.636,9.419,2.671,,,
233,0586-7614,,8.607,9.222,2.775,,,
233,0586-7614,,8.607,9.222,2.775,,,
235,2041-6520,,8.601,8.547,2.717,,,
236,0149-5992,,8.570,8.462,2.578,,,
237,0959-437X,,8.568,7.824,4.317,,,
238,0040-6376,,8.562,8.271,2.837,,,
239,0950-9232,,8.559,7.719,2.858,,,
240,0897-4756,,8.535,8.419,2.044,,,
241,0085-2538,,8.520,7.181,2.712,,,
242,2050-084X,,8.519,8.556,6.150,,,
243,2047-7538,,8.476,8.476,3.260,,,
244,0012-1797,,8.474,9.105,3.129,,,
245,2160-3308,,8.463,8.472,5.679,,,
246,1674-2788,,8.432,8.953,3.214,,,
247,1540-9295,,8.412,10.230,4.270,,,
248,1350-9047,,8.385,8.345,2.901,,,
249,1759-5061,,8.368,7.825,2.978,,,
250,0142-9612,,8.312,8.911,1.965,,,
251,1047-3211,,8.305,8.372,3.462,,,
252,0028-3878,,8.303,8.375,2.797,,,
253,1096-7176,,8.258,7.997,2.091,,,
254,2223-7755,,8.250,8.250,5.050,,,
255,1757-4676,,8.245,9.196,3.850,,,
256,1943-0264,,8.226,10.054,5.228,,,
257,1354-1013,,8.224,8.595,3.124,,,
258,1078-0432,,8.193,8.101,2.833,,,
259,0079-6786,,8.182,5.111,1.925,,,
260,1553-7404,,8.167,8.901,4.553,,,
261,0360-0564,,8.143,7.625,2.155,,,
262,0198-6325,,8.131,9.042,2.430,,,
263,1342-937X,,8.122,6.682,1.799,,,
264,1947-5438,,8.109,9.238,3.240,,,
265,1553-7374,,8.057,8.957,3.542,,,
266,0277-7037,,8.053,8.661,2.700,,,
267,0958-1669,,8.035,8.466,2.733,,,
268,0004-3591,,7.871,7.987,2.674,,,
269,0952-7915,,7.867,8.202,3.747,,,
270,1467-7881,,7.859,7.922,2.567,,,
271,1469-221X,,7.858,7.653,3.782,,,
272,0738-8551,,7.837,7.337,1.846,,,
273,0893-133X,,7.833,8.518,2.820,,,
274,1838-7640,,7.827,7.843,1.723,,,
275,0363-7425,,7.817,9.698,5.321,,,
276,1936-1327,,7.814,11.313,7.575,,,
277,0742-3098,,7.812,5.961,0.919,,,
278,1754-2189,,7.782,13.142,5.931,,,
279,0009-9147,,7.768,7.869,2.396,,,
280,0163-7258,,7.745,8.492,2.624,,,
281,0031-9007,,7.728,7.411,3.466,,,
282,0033-295X,,7.719,10.641,5.591,,,
282,0033-295X,,7.719,10.641,5.591,,,
284,1523-0864,,7.667,8.499,2.495,,,
285,1367-5931,,7.652,9.446,3.310,,,
286,0194-911X,,7.632,7.346,2.344,,,
287,1568-1637,,7.628,7.517,2.125,,,
288,1073-8584,,7.618,6.491,2.367,,,
289,0304-419X,,7.584,9.141,2.972,,,
290,0091-3022,,7.581,10.579,3.419,,,
291,1550-7033,,7.578,5.909,0.804,,,
292,2155-5435,,7.572,7.592,2.038,,,
293,2157-1422,,7.559,7.559,3.149,,,
294,1088-8683,,7.545,10.484,5.684,,,
295,1933-0219,,7.537,6.894,2.606,,,
296,1613-6810,,7.514,8.416,2.359,,,
297,1180-4882,,7.492,7.234,2.143,,,
297,1180-4882,,7.492,7.234,2.143,,,
299,1936-8798,,7.440,7.424,2.913,,,
300,1741-7007,,7.431,6.942,2.865,,,
301,2190-5991,,7.413,8.786,2.010,,,
302,0032-0889,,7.394,7.908,2.382,,,
303,0009-9236,,7.390,6.461,2.132,,,
304,0007-1250,,7.343,7.815,2.548,,,
304,0007-1250,,7.343,7.815,2.548,,,
306,1743-5390,,7.336,7.766,1.751,,,
307,1941-6520,,7.333,10.154,6.561,,,
307,0193-936X,,7.333,12.344,5.022,,,
309,0022-3417,,7.330,7.224,2.629,,,
310,1080-6040,,7.327,6.855,2.234,,,
311,1383-5742,,7.326,7.585,2.379,,,
312,1741-7015,,7.276,7.446,2.498,,,
313,0168-3659,,7.261,7.768,1.833,,,
314,1535-9476,,7.254,7.395,2.665,,,
315,1466-822X,,7.242,7.252,2.548,,,
316,0907-4449,,7.232,9.416,5.014,,,
317,1369-5274,,7.216,7.684,3.242,,,
318,2211-1247,,7.207,7.215,4.774,,,
319,0003-4932,,7.188,8.058,2.808,,,
320,0272-7358,,7.179,9.860,3.433,,,
321,1359-0286,,7.167,7.409,2.486,,,
322,0012-8252,,7.135,8.950,3.698,,,
323,1066-5099,,7.133,8.328,2.801,,,
324,0012-3692,,7.132,6.916,2.426,,,
325,0903-1936,,7.125,6.680,2.108,,,
326,1864-5631,,7.117,7.497,1.777,,,
327,0012-9615,,7.107,9.188,3.980,,,
328,1568-9972,,7.095,5.792,1.432,,,
329,0091-6765,,7.029,7.607,2.364,,,
330,0896-8411,,7.018,5.632,1.530,,,
331,0003-9942,,7.008,7.481,2.659,,,
332,1040-8363,,7.000,6.109,1.666,,,
333,1743-8977,,6.987,8.960,2.082,,,
334,1936-878X,,6.986,6.706,2.622,,,
335,1941-7640,,6.982,6.950,2.932,,,
336,1998-0124,,6.963,8.519,2.438,,,
337,1560-2745,,6.938,5.500,1.370,,,
338,1065-9471,,6.924,6.956,2.440,,,
339,0002-9165,,6.918,7.802,2.432,,,
340,0012-186X,,6.880,6.835,2.235,,,
341,0161-4940,,6.875,9.951,2.857,,,
341,2150-7511,,6.875,6.991,3.057,,,
343,0149-2063,,6.862,8.027,4.138,,,
344,1463-9262,,6.852,7.081,1.418,,,
345,0960-7412,,6.815,7.535,2.538,,,
346,0969-2126,,6.794,6.337,3.415,,,
347,0959-4388,,6.765,7.549,4.031,,,
348,1941-9651,,6.752,6.947,2.632,,,
349,1743-7199,,6.750,Not Available,Not Available,,,
350,0270-6474,,6.747,7.648,3.058,,,
351,2040-3364,,6.739,6.925,1.621,,,
352,1387-6473,,6.722,1.864,1.130,,,
353,1359-7345,,6.718,6.485,1.522,,,
354,1948-7185,,6.687,6.910,2.257,,,
355,0964-6906,,6.677,6.968,2.853,,,
356,0003-0090,,6.640,4.776,2.015,,,
357,1740-925X,,6.636,3.868,1.269,,,
358,0163-7525,,6.627,7.984,3.276,,,
358,0163-7525,,6.627,7.984,3.276,,,
358,1949-2553,,6.627,6.402,2.035,,,
361,0959-9428,,6.626,6.743,1.514,,,
362,0165-9936,,6.612,7.311,1.846,,,
363,1674-2052,,6.605,6.348,1.977,,,
364,1558-3724,,6.593,11.035,2.778,,,
365,0884-0431,,6.589,6.520,2.108,,,
366,1074-5521,,6.586,6.582,2.655,,,
367,0923-7534,,6.578,6.277,2.141,,,
368,1388-9842,,6.577,5.511,1.708,,,
369,0017-811X,,6.567,4.166,1.570,,,
370,0269-9370,,6.557,6.102,2.174,,,
371,0950-6608,,6.552,9.200,3.175,,,
372,1469-8137,,6.545,7.371,2.300,,,
373,1359-6101,,6.537,8.493,2.686,,,
374,1542-3565,,6.534,5.976,2.359,,,
375,1536-1284,,6.524,5.123,2.303,,,
376,0278-0046,,6.500,6.515,1.533,,,
377,1553-877X,,6.490,8.202,3.232,,,
378,0163-8998,,6.487,8.347,3.953,,,
379,1863-2297,,6.482,6.420,2.308,,,
380,0305-7372,,6.466,6.451,1.971,,,
381,0956-5663,,6.451,6.054,1.195,,,
382,0167-7659,,6.449,9.076,3.055,,,
383,1098-3600,,6.435,5.518,2.141,,,
384,1525-0016,,6.425,6.351,2.056,,,
385,1040-8444,,6.414,6.341,1.714,,,
386,1359-0294,,6.398,7.305,2.185,,,
387,0022-202X,,6.372,6.113,1.925,,,
388,0893-3952,,6.364,5.515,1.889,,,
389,0890-8567,,6.354,7.444,2.528,,,
389,0890-8567,,6.354,7.444,2.528,,,
391,0022-0515,,6.341,11.670,14.258,,,
392,1945-0877,,6.337,7.123,3.425,,,
393,1523-7060,,6.324,5.720,1.408,,,
394,0962-8436,,6.314,7.960,3.266,,,
395,1047-840X,,6.312,6.167,3.642,,,
396,0021-972X,,6.310,6.479,1.993,,,
397,1063-6706,,6.306,5.797,1.386,,,
398,1879-6257,,6.298,6.303,2.561,,,
399,0360-2532,,6.286,6.218,1.743,,,
400,2162-4011,,6.283,6.283,1.369,,,
401,0004-637X,,6.280,5.882,2.225,,,
402,0950-1991,,6.273,6.671,3.395,,,
403,0065-2504,,6.250,5.698,1.500,,,
404,1462-2912,,6.240,6.777,2.270,,,
405,1754-6834,,6.221,7.368,1.884,,,
406,1029-8479,,6.220,4.982,1.329,,,
407,1868-7083,,6.219,Not Available,Not Available,,,
408,1471-4922,,6.217,5.333,1.903,,,
409,0033-8419,,6.214,6.723,2.242,,,
410,1600-6135,,6.190,5.988,1.887,,,
411,1044-3983,,6.178,6.894,3.152,,,
411,1044-3983,,6.178,6.894,3.152,,,
413,0167-5273,,6.175,5.101,1.291,,,
414,0161-6420,,6.170,6.195,1.914,,,
415,0003-3022,,6.168,5.530,1.708,,,
416,0008-6223,,6.160,6.638,1.492,,,
417,1757-7004,,6.154,6.263,2.622,,,
418,0090-3493,,6.147,6.404,2.011,,,
419,1053-8119,,6.132,6.956,2.214,,,
420,0889-1591,,6.128,5.813,1.657,,,
421,1044-5323,,6.124,6.209,2.907,,,
422,1535-7163,,6.107,5.858,1.876,,,
423,0748-3007,,6.091,6.893,2.368,,,
424,1040-841X,,6.087,6.865,2.063,,,
425,1991-959X,,6.086,6.174,2.770,,,
426,0021-9517,,6.073,6.423,1.489,,,
427,0129-0657,,6.056,3.654,0.719,,,
428,0010-9452,,6.042,5.389,1.685,,,
429,0022-1082,,6.033,7.399,9.037,,,
430,1355-6037,,6.023,5.233,1.743,,,
430,0301-9268,,6.023,6.109,1.568,,,
432,0370-2693,,6.019,4.156,1.556,,,
433,0039-2499,,6.018,6.757,2.182,,,
434,0926-3373,,6.007,6.423,1.365,,,
435,1467-3037,,6.000,4.420,1.507,,,
435,0959-3780,,6.000,8.046,2.546,,,
435,0959-3780,,6.000,8.046,2.546,,,
438,0105-4538,,5.995,5.953,1.617,,,
439,1941-1413,,5.978,6.908,1.937,,,
439,1549-9634,,5.978,7.013,1.524,,,
441,0749-6419,,5.971,5.982,1.862,,,
441,1084-9521,,5.971,6.463,2.815,,,
443,0033-5533,,5.966,9.126,14.772,,,
444,1359-6446,,5.964,6.594,1.776,,,
445,0300-8428,,5.955,5.607,1.514,,,
446,1941-3289,,5.945,6.513,2.765,,,
447,1474-9718,,5.939,6.845,2.566,,,
447,1469-493X,,5.939,6.706,2.326,,,
449,1574-7891,,5.935,5.837,2.052,,,
450,0165-0173,,5.930,8.781,2.975,,,
451,1369-1600,,5.929,5.569,1.629,,,
452,0024-9297,,5.927,5.531,1.181,,,
453,1467-5463,,5.919,7.738,3.112,,,
454,1462-3994,,5.912,Not Available,Not Available,,,
455,0079-6336,,5.909,5.920,1.689,,,
456,0140-7791,,5.906,6.242,1.753,,,
457,1944-8244,,5.900,5.908,1.279,,,
458,0031-9228,,5.893,5.249,2.969,,,
459,1749-5016,,5.884,6.447,2.403,,,
459,1749-5016,,5.884,6.447,2.403,,,
461,1465-542X,,5.881,6.255,2.142,,,
462,1475-7516,,5.877,5.029,1.650,,,
463,0038-6308,,5.874,4.968,2.807,,,
464,0390-6078,,5.868,5.868,2.175,,,
465,1420-682X,,5.856,6.455,2.313,,,
466,0962-1083,,5.840,6.543,2.053,,,
467,0304-3959,,5.836,6.341,1.937,,,
468,0003-2700,,5.825,5.966,1.504,,,
469,1743-5889,,5.824,5.966,1.411,,,
470,0025-6196,,5.812,6.075,2.134,,,
471,1040-9238,,5.810,7.754,3.702,,,
472,0820-3946,,5.808,7.232,2.633,,,
472,0008-6363,,5.808,6.196,1.968,,,
474,0957-9672,,5.803,6.017,1.923,,,
475,0065-2911,,5.800,6.632,2.172,,,
475,1556-0864,,5.800,4.948,1.728,,,
477,0022-0957,,5.794,6.019,1.695,,,
478,1525-7797,,5.788,6.034,1.341,,,
479,0954-6820,,5.785,5.724,1.912,,,
480,0022-1899,,5.778,6.020,2.250,,,
481,0340-6245,,5.760,4.859,1.590,,,
482,1052-9276,,5.759,6.515,2.241,,,
483,0272-6386,,5.756,5.570,1.894,,,
483,1860-8965,,5.756,3.596,0.532,,,
485,1473-0197,,5.748,6.002,1.507,,,
486,1350-7540,,5.729,5.365,1.902,,,
487,0885-8993,,5.726,5.558,1.336,,,
488,1369-7412,,5.721,6.016,5.923,,,
489,0891-5849,,5.710,5.983,1.554,,,
490,1082-989X,,5.708,6.978,4.299,,,
491,0947-6539,,5.696,5.608,1.406,,,
492,0162-8828,,5.694,7.015,3.185,,,
492,0022-0477,,5.694,6.477,2.400,,,
494,1742-7061,,5.684,6.191,1.371,,,
495,1467-7644,,5.677,5.913,1.523,,,
496,0021-9630,,5.669,6.264,2.225,,,
496,0021-9630,,5.669,6.264,2.225,,,
498,0160-4120,,5.664,6.022,1.710,,,
499,1548-9213,,5.645,8.387,3.329,,,
500,1755-1471,,5.641,5.479,1.994,,,
501,1520-765X,,5.640,2.246,0.771,,,
502,0022-2593,,5.636,5.640,2.269,,,
503,0885-3185,,5.634,5.251,1.563,,,
504,0143-5221,,5.629,5.030,1.572,,,
505,1755-098X,,5.626,4.376,1.324,,,
506,1093-9687,,5.625,3.982,1.015,,,
507,1053-2498,,5.611,4.209,1.414,,,
508,2041-8205,,5.602,5.011,2.771,,,
509,0306-4530,,5.591,6.090,1.691,,,
510,0022-3050,,5.580,5.345,1.761,,,
511,1527-8999,,5.577,5.176,1.354,,,
512,0161-5505,,5.563,6.119,1.871,,,
513,1538-7933,,5.550,5.532,1.975,,,
514,1040-8398,,5.548,6.198,1.638,,,
515,0001-690X,,5.545,5.080,1.484,,,
515,0001-690X,,5.545,5.080,1.484,,,
515,1089-778X,,5.545,6.986,2.015,,,
518,0342-4642,,5.544,5.270,1.578,,,
519,1615-4150,,5.542,5.325,1.340,,,
520,0029-6643,,5.541,5.420,1.645,,,
521,1754-8403,,5.537,5.131,1.965,,,
522,1079-5642,,5.533,6.430,2.194,,,
523,0065-2776,,5.529,6.400,3.503,,,
524,1470-269X,,5.513,4.531,1.296,,,
525,0022-3514,,5.510,7.378,3.947,,,
525,1364-0321,,5.510,6.796,1.510,,,
527,0096-3445,,5.495,6.157,3.097,,,
528,0312-5963,,5.486,5.978,1.704,,,
528,2040-2392,,5.486,6.080,2.159,,,
530,0013-936X,,5.481,6.277,1.698,,,
531,0892-6638,,5.480,6.045,2.097,,,
531,0022-2623,,5.480,5.504,1.375,,,
533,0269-2813,,5.478,4.820,1.486,,,
533,0895-4356,,5.478,5.898,2.420,,,
535,0306-6150,,5.477,4.484,1.820,,,
536,1078-0998,,5.475,5.404,1.545,,,
537,1366-9516,,5.469,5.629,1.967,,,
538,0894-1491,,5.466,5.374,1.675,,,
538,0018-9219,,5.466,7.617,3.514,,,
540,1462-8902,,5.456,4.459,1.283,,,
541,0268-960X,,5.451,5.368,2.010,,,
542,0003-066X,,5.450,7.852,3.437,,,
543,1874-9399,,5.440,5.090,1.999,,,
544,0006-3568,,5.439,6.727,2.966,,,
544,0305-7453,,5.439,4.946,1.548,,,
546,1434-6044,,5.436,4.018,1.522,,,
547,1935-861X,,5.432,6.950,1.911,,,
547,1354-3784,,5.432,4.313,1.269,,,
549,0033-2917,,5.428,6.491,2.122,,,
549,0033-2917,,5.428,6.491,2.122,,,
551,1941-3149,,5.417,6.291,2.534,,,
552,0065-2660,,5.410,4.345,1.908,,,
553,0276-7783,,5.405,8.157,2.792,,,
553,0276-7783,,5.405,8.157,2.792,,,
555,1040-7308,,5.400,7.672,2.526,,,
555,1040-7308,,5.400,7.672,2.526,,,
557,1522-8002,,5.398,5.201,1.661,,,
558,1476-4598,,5.397,5.236,1.625,,,
559,0924-977X,,5.395,4.736,1.314,,,
560,0887-378X,,5.391,6.513,3.030,,,
560,0887-378X,,5.391,6.513,3.030,,,
562,0307-0565,,5.386,5.880,1.918,,,
563,1547-6286,,5.377,5.488,2.215,,,
564,1759-9954,,5.368,5.676,1.227,,,
565,0022-1767,,5.362,5.570,2.070,,,
566,1554-8929,,5.356,5.648,2.262,,,
567,0271-678X,,5.339,5.373,1.755,,,
568,1942-3268,,5.337,5.867,2.415,,,
569,0021-9533,,5.325,6.007,2.717,,,
570,0043-1354,,5.323,6.092,1.561,,,
571,2041-210X,,5.322,6.587,2.490,,,
572,0112-1642,,5.320,6.697,2.056,,,
573,1549-9618,,5.310,6.205,1.876,,,
574,0002-9343,,5.302,5.375,1.867,,,
575,1680-7316,,5.298,5.543,1.813,,,
576,0167-4889,,5.297,4.814,1.730,,,
576,0031-4005,,5.297,6.112,2.022,,,
578,1436-6002,,5.293,Not Available,Not Available,,,
579,0735-2689,,5.292,6.255,1.994,,,
