Rank,Issn,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
133,0027-8874,12.583,13.584,5.811,,,
134,0022-1007,12.515,13.244,6.843,,,
135,1001-0602,12.413,11.187,4.457,,,
136,1552-5260,12.407,13.324,4.302,,,
137,1931-3128,12.328,13.126,6.243,,,
138,0002-953X,12.295,14.644,5.427,,,
138,0002-953X,12.295,14.644,5.427,,,
140,0010-8545,12.239,13.174,3.266,,,
141,0066-4227,12.182,16.132,7.105,,,
142,0002-7863,12.113,11.726,3.286,,,
143,2168-622X,12.008,12.008,4.955,,,
143,2168-622X,12.008,12.008,4.955,,,
145,0962-8924,12.007,12.140,5.581,,,
146,0167-7799,11.958,11.681,3.560,,,
147,1759-0876,11.885,11.118,3.338,,,
148,1531-7331,11.854,17.970,7.086,,,
149,0003-0007,11.808,10.666,5.609,,,
150,1616-301X,11.805,12.311,3.120,,,
151,1554-8627,11.753,10.698,3.452,,,
152,1752-0894,11.740,13.579,7.463,,,
153,0165-6147,11.539,10.338,3.521,,,
154,0091-6749,11.476,10.715,3.118,,,
155,2041-1723,11.470,11.904,5.723,,,
156,0168-8278,11.336,10.305,3.246,,,
157,1433-7851,11.261,12.060,3.390,,,
158,0163-8998,11.256,8.914,4.366,,,
159,0968-0004,11.227,11.810,5.527,,,
160,0067-0049,11.215,12.267,7.355,,,
161,0066-4189,11.163,14.283,7.769,,,
162,0270-9139,11.055,12.054,3.945,,,
163,0009-7330,11.019,10.965,3.795,,,
164,0002-9297,10.931,11.174,5.381,,,
165,1744-4292,10.872,12.019,5.857,,,
166,1465-6906,10.810,13.480,6.860,,,
167,0890-9369,10.798,12.305,6.506,,,
168,0001-6322,10.762,9.762,3.483,,,
169,0002-9270,10.755,9.145,2.915,,,
170,1461-023X,10.689,16.783,7.397,,,
171,1543-592X,10.562,19.826,8.737,,,
172,0006-4971,10.452,9.567,3.627,,,
173,2157-1724,10.435,7.533,3.299,,,
174,0261-4189,10.434,9.837,5.082,,,
175,0887-6924,10.431,9.158,3.425,,,
176,1471-4906,10.399,10.527,4.555,,,
177,0003-4967,10.377,9.644,2.689,,,
178,2211-2855,10.325,10.355,2.252,,,
179,0006-3223,10.255,10.359,3.553,,,
180,0098-2997,10.238,11.000,3.499,,,
181,1355-4786,10.165,10.818,3.681,,,
182,0105-2896,10.120,11.151,5.010,,,
183,1884-4049,10.118,11.347,3.377,,,
184,1943-8206,10.111,18.565,7.335,,,
185,0265-0568,10.107,10.545,3.173,,,
186,2214-109X,10.042,10.083,5.355,,,
186,2214-109X,10.042,10.083,5.355,,,
188,0163-7827,10.015,12.204,3.886,,,
189,0360-0564,10.000,8.053,3.287,,,
190,0301-0082,9.992,10.487,3.553,,,
191,0364-5134,9.977,10.792,4.176,,,
192,0168-9525,9.918,9.859,4.820,,,
193,1759-4790,9.845,9.892,3.277,,,
194,0021-9525,9.834,10.765,5.406,,,
195,0163-7258,9.723,8.843,2.688,,,
196,1534-5807,9.708,12.437,6.635,,,
197,0027-8424,9.674,10.563,4.733,,,
198,1754-2189,9.673,13.469,6.057,,,
199,1464-7931,9.670,11.199,4.492,,,
200,2213-2600,9.629,9.661,3.986,,,
201,0066-4286,9.620,14.284,4.525,,,
202,1467-5463,9.617,7.017,2.820,,,
203,0742-3098,9.600,7.227,1.120,,,
204,0960-9822,9.571,10.134,4.990,,,
205,1745-6916,9.546,10.288,5.201,,,
206,2157-1422,9.469,9.808,3.984,,,
207,1471-4914,9.453,9.931,3.502,,,
208,1043-2760,9.392,9.174,3.356,,,
209,1046-6673,9.343,9.621,3.377,,,
209,1545-7885,9.343,11.896,6.212,,,
211,1040-4651,9.338,10.529,3.474,,,
212,1044-579X,9.330,8.105,2.697,,,
213,0008-5472,9.329,9.115,3.126,,,
214,2050-084X,9.322,9.325,6.140,,,
215,2155-5435,9.312,9.174,2.283,,,
216,1751-7362,9.302,9.438,3.284,,,
217,2041-6520,9.211,9.203,2.972,,,
218,0006-8950,9.196,10.418,3.846,,,
218,0033-3190,9.196,6.918,2.195,,,
218,0033-3190,9.196,6.918,2.195,,,
221,0966-842X,9.186,9.017,3.356,,,
222,2213-8587,9.185,9.185,3.814,,,
223,1759-5002,9.183,9.761,3.846,,,
224,0300-5771,9.176,8.615,3.737,,,
225,1368-7646,9.121,9.312,2.974,,,
226,0305-1048,9.112,8.867,3.492,,,
227,0737-4038,9.105,11.667,4.441,,,
228,1469-221X,9.055,8.043,3.825,,,
229,2160-3308,9.043,9.055,6.237,,,
230,0734-9750,9.015,11.885,2.975,,,
231,1527-8204,8.957,10.660,5.117,,,
232,1058-4838,8.886,9.206,3.562,,,
233,1936-1327,8.833,9.510,2.890,,,
234,0149-7634,8.802,10.528,3.596,,,
235,1063-6706,8.746,7.881,1.660,,,
236,1350-9462,8.733,10.439,3.688,,,
237,1078-0432,8.722,8.531,2.824,,,
238,1943-0264,8.679,11.319,5.406,,,
239,1947-5438,8.676,11.000,3.873,,,
240,1047-3211,8.665,8.335,3.290,,,
240,1757-4676,8.665,9.315,3.675,,,
242,0084-6597,8.582,9.950,6.310,,,
243,2212-6864,8.571,8.571,4.091,,,
244,0085-2538,8.563,7.891,2.701,,,
245,0142-9612,8.557,9.305,2.005,,,
246,1759-5061,8.542,7.789,2.764,,,
247,1087-0792,8.513,9.258,3.247,,,
248,0950-6608,8.500,10.620,3.618,,,
249,0161-4940,8.471,10.350,2.820,,,
250,0955-0674,8.467,10.118,4.616,,,
251,0950-9232,8.459,7.632,2.627,,,
252,0586-7614,8.450,8.686,2.681,,,
252,0586-7614,8.450,8.686,2.681,,,
254,0198-6325,8.431,8.226,2.137,,,
255,0149-5992,8.420,8.569,2.779,,,
256,0896-8411,8.410,6.330,1.601,,,
257,1613-6810,8.368,8.646,2.254,,,
258,0199-9885,8.359,9.660,3.317,,,
259,2211-1247,8.358,8.361,4.959,,,
260,0897-4756,8.354,9.210,2.200,,,
261,0003-4932,8.327,8.844,3.225,,,
262,0040-6376,8.290,8.046,2.822,,,
263,1467-2960,8.258,8.083,2.959,,,
264,1342-937X,8.235,7.952,2.165,,,
265,0028-3878,8.185,8.310,2.974,,,
266,1350-9047,8.184,8.461,3.022,,,
267,2223-7755,8.143,8.286,3.890,,,
268,0012-1797,8.095,8.443,3.041,,,
269,1354-1013,8.044,8.708,3.167,,,
270,1838-7640,8.022,8.005,1.796,,,
271,1463-9262,8.020,8.294,1.564,,,
272,1863-8880,8.008,8.532,3.274,,,
273,1467-7881,7.995,8.532,2.870,,,
274,0007-1250,7.991,8.196,2.878,,,
274,0007-1250,7.991,8.196,2.878,,,
276,1741-7007,7.984,7.210,2.993,,,
277,0091-6765,7.977,8.440,2.617,,,
278,0033-295X,7.972,11.398,5.799,,,
278,0033-295X,7.972,11.398,5.799,,,
280,1568-9972,7.933,5.959,1.405,,,
281,0009-9147,7.911,8.144,2.535,,,
282,0009-9236,7.903,6.844,2.120,,,
283,1542-3565,7.896,7.394,2.674,,,
284,0012-8252,7.885,9.665,3.888,,,
285,1369-5266,7.848,9.203,3.169,,,
286,0304-419X,7.845,8.811,2.688,,,
287,0033-5835,7.810,10.255,5.030,,,
288,0001-8686,7.776,10.421,2.839,,,
289,1941-6520,7.769,10.866,6.827,,,
290,0004-3591,7.764,7.760,2.618,,,
291,1863-2297,7.748,7.047,2.478,,,
292,1040-9238,7.714,7.086,3.255,,,
293,0277-7037,7.709,7.764,2.348,,,
294,0168-3659,7.705,8.097,1.792,,,
295,0028-646X,7.672,7.837,2.596,,,
296,1864-5631,7.657,8.653,1.984,,,
297,0903-1936,7.636,6.862,2.162,,,
298,0305-7372,7.588,6.611,1.888,,,
299,1062-7995,7.584,7.624,2.109,,,
300,0959-437X,7.574,7.319,3.736,,,
301,1553-7366,7.562,8.364,3.280,,,
302,1553-7390,7.528,8.555,4.179,,,
303,0031-9007,7.512,7.360,3.456,,,
304,0012-3692,7.483,6.558,2.397,,,
305,0952-7915,7.478,7.572,3.316,,,
305,1571-0645,7.478,8.559,3.292,,,
307,0363-7425,7.475,10.736,6.683,,,
308,1948-7185,7.458,7.536,2.425,,,
309,2050-7488,7.443,7.449,1.457,,,
310,1540-9295,7.441,9.878,3.930,,,
311,0926-3373,7.435,7.490,1.477,,,
312,0022-3417,7.429,6.941,2.400,,,
313,0003-9942,7.419,7.249,2.712,,,
314,1523-0864,7.407,7.920,2.261,,,
315,2040-3364,7.394,7.762,1.740,,,
316,1933-0219,7.374,6.994,2.813,,,
317,1749-5016,7.372,7.332,2.590,,,
317,1749-5016,7.372,7.332,2.590,,,
319,0962-4929,7.364,Not Available,Not Available,,,
320,1741-7015,7.356,7.770,2.546,,,
321,1936-8798,7.345,7.077,3.054,,,
322,1082-989X,7.338,9.414,5.905,,,
323,1098-3600,7.329,6.397,2.829,,,
324,0003-0090,7.316,5.103,2.061,,,
325,2190-5991,7.315,7.523,1.521,,,
326,2168-6149,7.271,7.288,2.991,,,
327,0890-8567,7.260,8.459,3.158,,,
327,0890-8567,7.260,8.459,3.158,,,
329,1755-263X,7.241,6.416,2.690,,,
330,0079-6565,7.237,6.281,2.383,,,
331,0167-7659,7.234,9.312,2.784,,,
332,0022-202X,7.216,6.706,2.087,,,
333,0342-4642,7.214,5.793,1.932,,,
334,0959-440X,7.201,8.077,4.047,,,
335,1936-878X,7.188,6.754,2.777,,,
336,0738-8551,7.178,6.854,1.646,,,
337,2168-6203,7.148,7.157,3.114,,,
338,0958-1669,7.117,7.983,2.603,,,
339,1743-8977,7.113,9.254,2.225,,,
340,0962-8436,7.055,7.885,3.245,,,
341,0893-133X,7.048,8.168,2.643,,,
342,0923-7534,7.040,6.885,2.316,,,
343,0091-3022,7.037,9.656,3.212,,,
344,0144-235X,7.034,6.282,2.375,,,
345,1998-0124,7.010,8.387,2.133,,,
346,0065-3055,7.000,6.700,1.962,,,
347,0012-9615,6.980,10.106,4.238,,,
348,0140-7791,6.960,6.643,1.874,,,
349,0272-7358,6.932,10.435,3.823,,,
350,0021-9517,6.921,7.310,1.622,,,
351,1674-2788,6.870,7.597,2.598,,,
352,0033-8419,6.867,7.259,2.548,,,
353,0032-0889,6.841,8.030,2.351,,,
354,1073-8584,6.837,6.675,2.404,,,
355,1359-7345,6.834,6.779,1.580,,,
356,0884-0431,6.832,7.015,2.263,,,
357,1367-5931,6.813,8.501,3.109,,,
358,0022-3050,6.807,5.550,1.971,,,
359,1553-877X,6.806,8.615,3.916,,,
360,2150-7511,6.786,6.781,2.762,,,
361,1522-8517,6.776,6.604,2.085,,,
362,0002-9165,6.770,7.328,2.398,,,
363,1096-7176,6.767,6.714,1.884,,,
364,0065-2660,6.760,5.350,2.127,,,
365,1080-6040,6.751,6.519,2.195,,,
366,1944-8244,6.723,6.813,1.373,,,
367,1088-8683,6.692,10.443,5.761,,,
368,1359-6446,6.691,6.423,1.718,,,
369,0012-186X,6.671,6.489,2.303,,,
370,0193-936X,6.667,9.391,3.857,,,
371,0033-5533,6.654,9.794,16.062,,,
372,1053-2498,6.650,4.914,1.749,,,
373,1074-5521,6.645,6.565,2.582,,,
374,1568-1637,6.634,7.194,2.027,,,
375,0959-4388,6.628,7.284,3.559,,,
376,0079-6786,6.600,6.968,2.241,,,
377,1535-9476,6.564,6.886,2.486,,,
378,1750-1326,6.563,5.709,1.797,,,
379,2041-210X,6.554,7.393,2.924,,,
380,1466-822X,6.531,7.180,2.837,,,
381,1388-9842,6.526,5.631,1.872,,,
382,1066-5099,6.523,7.532,2.470,,,
383,0129-0657,6.507,4.265,0.707,,,
384,0194-911X,6.499,7.041,2.215,,,
385,0278-0046,6.498,6.498,1.600,,,
386,0962-1083,6.494,6.330,2.075,,,
387,0165-9936,6.472,6.927,1.683,,,
388,0163-7525,6.469,7.365,3.364,,,
388,0163-7525,6.469,7.365,3.364,,,
390,0950-1991,6.462,6.741,3.098,,,
391,0021-9630,6.459,6.681,2.498,,,
391,0021-9630,6.459,6.681,2.498,,,
393,1040-8436,6.450,8.848,2.363,,,
394,0001-4273,6.448,9.812,5.744,,,
395,1945-4589,6.432,4.761,1.485,,,
396,1387-6473,6.429,2.491,1.605,,,
397,1743-5390,6.411,7.322,1.559,,,
398,0956-5663,6.409,6.045,1.169,,,
399,0964-6906,6.393,6.850,2.648,,,
399,0034-4257,6.393,7.769,1.936,,,
401,1523-7060,6.364,5.849,1.407,,,
402,1462-8902,6.360,5.504,1.611,,,
403,1949-2553,6.359,6.368,1.724,,,
404,1053-8119,6.357,7.289,2.257,,,
405,0270-6474,6.344,7.348,2.862,,,
406,1474-9718,6.340,6.593,2.320,,,
407,1674-2052,6.337,6.534,2.040,,,
408,0022-2593,6.335,5.855,2.461,,,
409,1874-9399,6.332,5.661,2.401,,,
410,1941-7640,6.324,6.525,2.930,,,
411,0090-3493,6.312,6.289,2.307,,,
412,1941-1413,6.289,6.767,1.959,,,
413,0038-6308,6.283,5.087,3.280,,,
414,1945-0877,6.279,7.137,3.309,,,
415,0303-4240,6.273,5.867,2.026,,,
416,2162-4011,6.266,6.269,1.400,,,
417,1084-9521,6.265,6.211,2.484,,,
418,0025-6196,6.262,6.211,2.283,,,
419,1047-840X,6.250,8.239,4.730,,,
420,1359-0286,6.235,6.656,2.318,,,
421,1873-9946,6.234,5.425,1.272,,,
422,1743-7199,6.233,5.833,1.857,,,
423,1525-0016,6.227,6.211,1.967,,,
424,0065-308X,6.226,4.435,1.615,,,
425,1560-2745,6.221,5.797,1.961,,,
426,1083-4419,6.220,6.184,2.158,,,
427,0748-3007,6.217,5.532,1.891,,,
427,0378-7753,6.217,6.227,1.128,,,
429,1383-5742,6.213,6.635,1.959,,,
430,0021-972X,6.209,6.544,2.061,,,
431,1471-4922,6.204,5.617,1.902,,,
432,1462-2912,6.201,6.312,2.084,,,
433,0008-6223,6.196,6.890,1.463,,,
433,1044-3983,6.196,7.052,3.252,,,
433,1044-3983,6.196,7.052,3.252,,,
436,0893-3952,6.187,5.609,1.855,,,
437,0161-5505,6.160,6.280,1.968,,,
438,1558-3724,6.156,7.900,2.005,,,
439,1549-9634,6.155,7.275,1.599,,,
440,0161-6420,6.135,6.117,1.851,,,
441,0370-2693,6.131,4.080,1.520,,,
442,1473-0197,6.115,5.775,1.521,,,
443,1029-8479,6.111,4.932,1.260,,,
444,0003-066X,6.100,7.089,3.108,,,
445,0029-6643,6.076,5.708,1.800,,,
446,0149-2063,6.071,9.238,4.553,,,
447,1879-6257,6.064,6.399,2.501,,,
448,0954-6820,6.063,5.622,1.822,,,
449,1754-6834,6.044,6.959,1.945,,,
450,1469-493X,6.035,6.539,2.365,,,
451,0894-1491,6.031,5.511,1.782,,,
452,0105-4538,6.028,5.948,1.605,,,
453,1742-7061,6.025,6.589,1.417,,,
454,1040-841X,6.020,6.622,1.912,,,
455,1757-7004,6.019,6.164,2.776,,,
456,1079-5642,6.008,6.199,2.114,,,
456,0885-8993,6.008,5.980,1.282,,,
458,0022-1899,5.997,5.862,2.296,,,
459,0004-637X,5.993,5.636,2.388,,,
460,0340-5761,5.980,4.933,1.063,,,
461,0960-7412,5.972,6.963,2.247,,,
462,1065-9471,5.969,6.687,2.288,,,
463,0016-6731,5.963,5.241,2.339,,,
464,0065-2776,5.962,6.974,3.494,,,
465,0820-3946,5.959,6.912,2.678,,,
466,0008-6363,5.940,5.992,1.926,,,
467,0033-2917,5.938,6.336,2.227,,,
467,0033-2917,5.938,6.336,2.227,,,
469,0964-4563,5.933,5.352,2.018,,,
469,0964-4563,5.933,5.352,2.018,,,
471,0096-3445,5.929,6.268,3.145,,,
472,1941-7705,5.906,5.923,2.962,,,
473,1364-0321,5.901,7.445,1.606,,,
474,0272-6386,5.900,5.555,1.864,,,
474,1369-5274,5.900,6.990,2.779,,,
476,1543-5938,5.892,9.372,3.877,,,
476,1543-5938,5.892,9.372,3.877,,,
478,0889-1591,5.889,5.895,1.728,,,
479,0003-3022,5.879,5.794,1.888,,,
480,1049-250X,5.875,4.070,2.607,,,
481,1941-3289,5.867,6.407,2.613,,,
482,1180-4882,5.861,6.789,2.175,,,
482,1180-4882,5.861,6.789,2.175,,,
484,1053-5888,5.852,5.876,2.891,,,
485,1359-0294,5.840,7.966,2.288,,,
486,0390-6078,5.814,5.653,2.091,,,
487,1475-7516,5.810,5.002,1.644,,,
488,1756-994X,5.809,4.497,1.905,,,
489,1420-682X,5.808,6.005,2.087,,,
490,0024-9297,5.800,5.654,1.279,,,
491,2192-2640,5.797,5.812,1.567,,,
492,2046-2441,5.784,5.835,2.625,,,
493,0162-8828,5.781,7.762,3.320,,,
494,1198-743X,5.768,5.059,1.649,,,
495,2161-1653,5.764,5.875,1.629,,,
496,0039-2499,5.761,6.578,2.140,,,
497,1467-7644,5.752,5.587,1.490,,,
498,1525-7797,5.750,6.432,1.451,,,
498,1467-3037,5.750,4.277,1.297,,,
500,0891-5849,5.736,5.855,1.500,,,
501,1072-4710,5.731,5.485,2.327,,,
501,0947-6539,5.731,5.635,1.433,,,
503,0269-2813,5.727,5.273,1.518,,,
504,0025-7974,5.723,5.285,1.910,,,
505,1560-7917,5.722,4.336,1.506,,,
506,1538-7933,5.720,5.593,2.030,,,
507,2157-6564,5.709,5.714,1.739,,,
508,0079-6816,5.696,6.930,2.968,,,
509,2192-8606,5.686,5.686,2.567,,,
510,1600-6135,5.683,5.717,2.004,,,
510,1535-7163,5.683,5.895,1.796,,,
512,0885-3185,5.680,4.983,1.522,,,
513,0963-7214,5.678,6.776,3.259,,,
514,0883-7694,5.667,5.418,2.078,,,
515,0301-9268,5.664,5.570,1.407,,,
516,1615-4150,5.663,5.556,1.307,,,
517,0957-9672,5.656,5.659,1.923,,,
518,0003-2700,5.636,5.794,1.449,,,
519,0304-3835,5.621,4.958,1.238,,,
520,2158-3188,5.620,5.681,1.844,,,
521,1863-2653,5.618,6.935,2.435,,,
521,0969-2126,5.618,5.895,3.170,,,
523,0306-2619,5.613,6.330,1.207,,,
524,0001-690X,5.605,5.256,1.583,,,
524,0001-690X,5.605,5.256,1.583,,,
526,0143-5221,5.598,5.348,1.578,,,
527,1355-6037,5.595,4.782,1.974,,,
528,2045-2322,5.578,5.597,2.075,,,
529,1052-9276,5.574,5.985,2.076,,,
530,0749-6419,5.567,5.890,1.937,,,
531,0268-960X,5.565,5.405,2.101,,,
532,0160-4120,5.559,6.657,1.791,,,
533,1941-9651,5.555,6.131,2.688,,,
534,0269-9370,5.554,5.785,2.167,,,
535,0007-1323,5.542,5.522,2.006,,,
536,1354-3784,5.528,4.564,1.280,,,
536,0894-4865,5.528,4.354,0.910,,,
536,0043-1354,5.528,6.279,1.592,,,
539,0022-0957,5.526,6.312,1.738,,,
540,0006-3568,5.524,6.397,2.549,,,
541,0022-0477,5.521,6.314,2.427,,,
542,1759-9954,5.520,5.723,1.228,,,
543,1994-0416,5.516,5.591,2.366,,,
544,0160-6689,5.498,5.818,1.829,,,
544,0160-6689,5.498,5.818,1.829,,,
544,1549-9618,5.498,5.760,1.761,,,
547,1527-8999,5.492,5.162,1.387,,,
548,1465-542X,5.490,6.281,2.232,,,
549,1340-2838,5.477,5.707,1.629,,,
550,0031-4005,5.473,6.169,2.312,,,
551,1868-596X,5.467,4.917,0.820,,,
552,1080-0549,5.463,4.444,1.150,,,
553,0022-2623,5.447,5.464,1.367,,,
554,0735-2689,5.442,5.982,1.708,,,
555,1544-1709,5.434,5.886,2.431,,,
556,0021-9533,5.432,5.999,2.529,,,
557,2044-4753,5.426,5.525,1.171,,,
558,0022-1082,5.424,7.546,9.862,,,
559,0959-8049,5.417,5.624,1.882,,,
559,1536-1284,5.417,5.381,3.132,,,
561,1079-5006,5.416,5.406,1.664,,,
561,1079-5006,5.416,5.406,1.664,,,
563,0300-8428,5.414,4.943,1.528,,,
564,2040-2392,5.413,5.821,2.045,,,
564,1743-5889,5.413,5.955,1.369,,,
566,1742-2094,5.408,5.632,1.524,,,
567,0271-678X,5.407,5.455,1.785,,,
568,2161-8313,5.386,6.413,2.049,,,
569,1619-7070,5.383,5.090,1.537,,,
570,0016-5107,5.369,5.225,1.433,,,
571,2213-6711,5.365,5.365,3.102,,,
572,1355-6215,5.359,5.204,1.542,,,
573,1359-6101,5.357,7.968,2.563,,,
574,0360-2532,5.356,5.984,1.681,,,
575,0022-0515,5.354,11.762,14.409,,,
576,0005-2728,5.353,5.132,1.646,,,
577,1059-7794,5.340,5.195,2.148,,,
578,2041-8205,5.339,4.854,3.008,,,
578,0393-2990,5.339,5.452,2.101,,,
580,1550-7033,5.338,4.138,0.533,,,
581,0927-0248,5.337,5.755,1.288,,,
582,0143-3334,5.334,5.698,1.562,,,
583,1756-8935,5.333,4.630,2.350,,,
584,1554-8929,5.331,5.459,2.084,,,
584,1574-7891,5.331,5.669,1.930,,,
586,0013-936X,5.330,6.326,1.690,,,
587,0065-230X,5.321,5.829,2.020,,,
588,0065-2601,5.318,8.652,5.139,,,
589,0305-7453,5.313,4.984,1.590,,,
590,0276-7783,5.311,8.490,3.092,,,
590,0276-7783,5.311,8.490,3.092,,,
592,1350-7540,5.307,5.004,1.732,,,
593,0031-5850,5.300,5.196,1.829,,,
594,1526-5161,5.288,4.000,1.628,,,
594,1526-5161,5.288,4.000,1.628,,,
596,1556-0864,5.282,4.852,1.597,,,
597,0021-9355,5.280,4.839,1.758,,,
598,0022-006X,5.279,6.770,2.529,,,
599,0029-6651,5.273,4.321,1.238,,,
600,0002-9262,5.230,5.632,2.385,,,
601,0304-3959,5.213,6.241,2.160,,,
602,0084-0173,5.200,5.000,2.009,,,
603,1932-6254,5.199,4.328,1.030,,,
604,1040-8398,5.176,6.028,1.565,,,
605,0029-7844,5.175,5.098,1.945,,,
