"","Level","Points","Journal","ISSN","Econ","ABS","I","A","T"
"48","Level IV",20.4869080786234,"British Food Journal","0007-070X",NA,1,2.00066666666667,0.283,1.70266666666667
"49","Level III",40,"British Journal of Educational Technology","0007-1013",NA,2,3.218,0.542,2.756
"50","Level I-B",120,"British Journal of Industrial Relations","0007-1080",1,5,2.36533333333333,0.89,2.001
"51","Level II",60,"British Journal Of Psychology","0007-1269",NA,3,3.85733333333333,1.43633333333333,3.018
"52","Level II",60,"British Journal of Sociology","0007-1315",NA,3,3.06266666666667,1.39233333333333,2.66733333333333
"53","No Level",NA,"British Tax Review","0007-1870",NA,3,NA,NA,NA
"54","Level I-A",150,"Brookings Papers on Economic Activity","0007-2303",1,3,5.774,7.31466666666667,5.50733333333333
"55","Level IV",20,"Bulletin for International Fiscal Documentation","0007-4624",1,NA,NA,NA,NA
"56","Level III",48.0349988913156,"Bulletin of Indonesian Economic Studies","0007-4918",1,1,1.50466666666667,0.592666666666667,1.58666666666667
"57","Level II",60,"Business and Society","0007-6503",NA,3,4.241,0.857666666666667,4.10033333333333
"58","Level IV",20,"Business Economics","0007-666X",1,1,NA,NA,NA
"59","Level II",60,"Business History","0007-6791",1,3,1.20866666666667,0.378,1.079
"60","Level I-B",120,"Business History Review","0007-6805",1,5,1.262,0.573666666666667,1.20533333333333
"61","Level III",40,"Business Horizons","0007-6813",NA,2,3.59266666666667,0.547666666666667,2.95333333333333
"62","Level IV",20,"Federal Reserve Bank of Philadelphia Business Review","0007-7011",1,NA,NA,NA,NA
"63","Level IV",20,"Federal Reserve Bank Business Review of Philadelphia","0007-7011",1,NA,NA,NA,NA
"64","Level IV",20,"Brussels Economic Review/Cahiers Economiques de Bruxelles","0008-0195",1,NA,NA,NA,NA
"65","Level IV",20,"Cahiers Economiques de Bruxelles","0008-0195",1,NA,NA,NA,NA
"66","Level I-C",97.5954049334872,"California Management Review","0008-1256",1,3,5.33466666666667,1.267,4.07033333333333
"67","Level III",40,"Canadian Journal of Agricultural Economics","0008-3976",1,2,1.183,0.309333333333333,0.871666666666667
"68","Level IV",20,"Canadian Journal of Behavioural Science-Revue Canadienne des Scie","0008-400X",NA,1,1.17833333333333,0.398,1.02266666666667
"69","Level II",60,"Canadian Journal of Economics","0008-4085",1,3,1.09266666666667,0.801666666666667,0.687
"70","Level IV",20,"Canadian Tax Journal","0008-5111",1,NA,NA,NA,NA
"71","Level IV",20,"China Quarterly","0009-4439",1,NA,NA,NA,NA
"72","Level IV",20,"Chinese Economic Studies","0009-4552",1,NA,NA,NA,NA
"73","Level IV",36.2470362154343,"Community Development Journal","0010-3802",1,NA,1.29233333333333,0.308666666666667,0.786
"74","Level III",40,"Computer Journal","0010-4620",NA,2,0.922666666666667,0.267333333333333,0.949666666666667
"75","Level IV",20,"Consommation","0010-6593",1,NA,NA,NA,NA
"76","Level III",40,"International Sociology","0011-3921",NA,2,2.252,0.783333333333333,1.54466666666667
"77","Level II",60,"Decision Sciences","0011-7315",NA,3,2.75933333333333,0.779666666666667,1.87166666666667
"78","Level IV",25.7905122837117,"Developing Economies","0012-1533",1,NA,0.740666666666667,0.203666666666667,0.633333333333333
"79","Level II",66.9029060085112,"Development and Change","0012-155X",1,3,2.47633333333333,0.928,1.81
"80","Level IV",23.5522950115768,"Eastern European Economics","0012-8775",1,1,0.841333333333333,0.138333333333333,0.851333333333333
"81","Level I-A",150,"Econometrica","0012-9682",1,5,6.21066666666667,11.282,4.00766666666667
"82","Level IV",20,"Economia e Lavoro","0012-978X",1,NA,NA,NA,NA
"83","Level IV",20,"Economia Internazionale/International Economics","0012-981X",1,NA,NA,NA,NA
"84","Level IV",20,"Economia Internazionale","0012-981X",1,NA,NA,NA,NA
"85","Level IV",30.3607714639537,"Economic and Social Review","0012-9984",1,1,0.892666666666667,0.269333333333333,0.593
"86","Level II",79.7029351572471,"Economic Development and Cultural Change","0013-0079",1,3,2.23966666666667,1.692,1.682
"87","Level I-B",139.208858605962,"Economic Geography","0013-0095",1,5,8.484,2.19766666666667,7.19266666666667
"88","Level I-B",120,"Economic History Review, Second Series","0013-0117",1,5,1.576,0.968333333333333,1.10566666666667
"89","Level I-B",120,"Economic History Review","0013-0117",1,5,1.576,0.968333333333333,1.10566666666667
"90","Level I-B",127.003255300083,"Economic Journal","0013-0133",1,5,3.96233333333333,3.62033333333333,2.87866666666667
"91","Level III",40,"Economic Record","0013-0249",1,2,1.00966666666667,0.384,0.779
"92","Level IV",20,"Federal Reserve Bank of Cleveland Economic Review","0013-0281",1,NA,NA,NA,NA
"93","Level IV",20,"Económica (National University of La Plata)","0013-0419",1,NA,NA,NA,NA
"94","Level II",70.7541828571229,"Economica","0013-0427",1,3,1.82733333333333,1.47566666666667,1.53966666666667
"95","Level II",70.7541828571229,"Economica, N.S.","0013-0427",1,3,1.82733333333333,1.47566666666667,1.53966666666667
"96","Level IV",20,"Economics of Planning","0013-0451",1,1,NA,NA,NA
"97","Level IV",20,"Economie Appliquée","0013-0494",1,NA,NA,NA,NA
"98","Level IV",20,"Economie Rurale","0013-0559",1,NA,NA,NA,NA
"99","Level IV",20,"Economies et Sociétés","0013-0567",1,NA,NA,NA,NA
"100","Level IV",20,"Economisch en Sociaal Tijdschrift","0013-0575",1,NA,NA,NA,NA
"101","Level IV",31.9431308926836,"De Economist","0013-063X",1,1,0.795,0.349666666666667,0.442666666666667
"102","Level IV",20,"Economic Thought","0013-2993",1,NA,NA,NA,NA
"103","Level IV",20,"Ekonomicko–Matematicky Obzor","0013-3027",1,NA,NA,NA,NA
"104","Level V",13.815108385958,"Ekonomický Casopis/Journal of Economics","0013-3035",1,NA,0.539333333333333,0.047,0.576666666666667
"105","Level IV",20,"Ekonomiska Samfundets Tidskrift","0013-3183",1,NA,NA,NA,NA
"106","Level IV",20,"Ekonomski Anali/Economic Annals","0013-3264",1,NA,NA,NA,NA
"107","Level IV",20,"Economic Annals","0013-3264",1,NA,NA,NA,NA
"108","Level IV",38.2746124078542,"Engineering Economist","0013-791X",1,NA,1.63133333333333,0.285666666666667,1.362
"109","Level II",61.7797850595103,"Environmental Science and Technology","0013-936X",NA,3,7.889,1.681,7.222
"110","Level II",60,"Ergonomics","0014-0139",NA,3,2.34,0.601666666666667,2.13
"111","Level II",78.9686003642513,"European Economic Review","0014-2921",1,3,2.20466666666667,1.674,1.665
"112","Level II",60.8608813850818,"Explorations in Economic History","0014-4983",1,3,1.43966666666667,1.218,1.245
"113","Level IV",20,"Federal Reserve Bank of Kansas City Monthly Review","0014-9152",1,NA,NA,NA,NA
"114","Level IV",36.8145869490739,"Federal Reserve Bank of St. Louis Review","0014-9187",1,NA,0.847,0.492333333333333,0.565
"115","Level IV",20,"Federal Reserve Bank of San Francisco Monthly Review","0014-9195",1,NA,NA,NA,NA
"116","Level IV",20,"Federal Reserve Bulletin","0014-9209",1,NA,NA,NA,NA
"117","Level V",19.8501767634915,"Finance a Úver","0015-1920",1,NA,0.7,0.102,0.597333333333333
"118","Level V",19.8501767634915,"Finance a Úver/Czech Journal of Economics and Finance","0015-1920",1,NA,0.7,0.102,0.597333333333333
"119","Level IV",20,"Finance and Development","0015-1947",1,NA,NA,NA,NA
"120","Level IV",20,"Finance and Trade Review","0015-1955",1,NA,NA,NA,NA
"121","Level II",63.5595513265499,"Financial Analysts Journal","0015-198X",1,3,2.022,0.981666666666667,1.637
"122","Level IV",25.7177034675275,"FinanzArchiv","0015-2218",1,1,0.590666666666667,0.253333333333333,0.345666666666667
"123","Level II",88.124896015168,"Foreign Affairs","0015-7120",1,NA,3.25966666666667,1.549,3.903
"124","Level IV",20,"Foreign Trade Review","0015-7325",1,NA,NA,NA,NA
"125","Level III",40,"Futures","0016-3287",NA,2,2.675,0.489333333333333,2.413
"126","Level III",40,"Geoforum","0016-7185",NA,2,3.51466666666667,1.01533333333333,2.86333333333333
"127","Level IV",20,"Giornale degli Economisti e Annali di Economia","0017-0097",1,NA,NA,NA,NA
"128","Level III",40.0909673970256,"Growth and Change","0017-4815",1,2,1.46833333333333,0.362333333333333,1.20966666666667
"129","Level I-B",120,"Harvard Business Review","0017-8012",1,3,5.97133333333333,2.08533333333333,5.253
"130","Level I-C",91.7385946485094,"Health Services Research","0017-9124",1,3,3.24933333333333,1.743,2.57466666666667
"131","Level III",40,"Higher Education","0018-1560",NA,2,3.15233333333333,0.713333333333333,2.59933333333333
"132","Level III",40,"History of Political Economy","0018-2702",1,2,0.927666666666667,0.354333333333333,1.132
"133","Level IV",20,"Hitotsubashi Journal of Commerce and Management","0018-2796",1,NA,NA,NA,NA
"134","Level V",17.6030592045746,"Hitotsubashi Journal of Economics","0018-280X",1,NA,0.387666666666667,0.130666666666667,0.331666666666667
"135","Level II",60,"Human Factors: Journal of Human Factors and Ergonomics Society","0018-7208",NA,3,2.97666666666667,0.820666666666667,2.72833333333333
"136","Level III",40,"Human Organization","0018-7259",NA,2,1.19466666666667,0.360666666666667,0.793666666666667
"137","Level I-B",120,"Human Relations","0018-7267",NA,5,4.45133333333333,1.461,3.33666666666667
"138","Level II",60,"IEEE Transactions on Engineering Management","0018-9391",NA,3,2.356,0.514666666666667,2.02233333333333
"139","Level IV",20,"Ifo Studien","0018-9731",1,NA,NA,NA,NA
"140","Level IV",20,"Annales de l'INSEE","0019-0209",1,1,NA,NA,NA
"141","Level IV",28.4387872151564,"Indian Economic and Social History Review","0019-4646",1,NA,0.575333333333333,0.346666666666667,0.5
"142","Level IV",20,"Indian Economic Journal","0019-4662",1,NA,NA,NA,NA
"143","Level IV",20,"Indian Economic Review","0019-4670",1,NA,NA,NA,NA
"144","Level IV",20,"Indian Journal of Agricultural Economics","0019-5014",1,NA,NA,NA,NA
"145","No Level",NA,"The Indian Journal of Industrial Relations","0019-5308",NA,1,NA,NA,NA
"146","No Level",NA,"The Indian Journal of Labour Economics","0019-5308",NA,1,NA,NA,NA
"147","Level IV",20,"Indiana Business Review","0019-6541",1,NA,NA,NA,NA
"148","Level IV",20,"L'Industria, Nuova Serie","0019-7416",1,NA,NA,NA,NA
"149","Level II",83.1263081028223,"Industrial and Labor Relations Review","0019-7939",1,3,2.611,1.63666666666667,2.334
"150","Level II",83.1263081028223,"ILR Review","0019-7939",1,3,2.611,1.63666666666667,2.334
"151","Level IV",20,"Sloan Management Review","0019-848X",1,NA,NA,NA,NA
"152","Level II",60,"Industrial Marketing Management","0019-8501",NA,3,5.148,0.7,4.384
"153","Level I-B",120,"Industrial Relations","0019-8676",1,5,1.54533333333333,0.842666666666667,1.32166666666667
"154","No Level",NA,"Industrial Relations Journal","0019-8692",NA,3,NA,NA,NA
"155","Level IV",20,"Informacion Comercial Española Revista de Economia","0019-977X",1,NA,NA,NA,NA
"156","Level IV",20,"Intereconomics/Review of European Economic Policy","0020-5346",1,1,NA,NA,NA
"157","Level I-B",120,"International Economic Review","0020-6598",1,5,2.22133333333333,2.48833333333333,1.582
"158","Level III",40,"International Journal of Game Theory","0020-7276",1,2,0.670666666666667,0.608333333333333,0.56
"159","Level II",60,"International Journal of Production Research","0020-7543",NA,3,3.42933333333333,0.574,3.46633333333333
"160","Level IV",29.4858156467506,"International Journal of Psychology","0020-7594",NA,1,2.26866666666667,0.706333333333333,1.57666666666667
"161","Level IV",20,"International Monetary Fund Staff Papers","0020-7635",1,NA,NA,NA,NA
"162","Level III",41.5286543382345,"International Labour Review","0020-7780",1,2,1.38766666666667,0.424,1.276
"163","Level I-B",148.204549002695,"International Organization","0020-8183",1,NA,5.71933333333333,3.89866666666667,4.675
"164","Level II",60,"International Review of Administrative Sciences","0020-8523",NA,3,2.427,0.586333333333333,2.097
"165","Level IV",20,"International Social Science Journal","0020-8701",1,NA,NA,NA,NA
"166","No Level",NA,"International Studies of Management and Organization","0020-8825",NA,2,NA,NA,NA
"167","Level IV",20,"Irish Banking Review","0021-1060",1,NA,NA,NA,NA
"168","Level IV",20,"Irish Journal of Agricultural Economics and Rural Sociology","0021-1249",1,NA,NA,NA,NA
"169","Level V",19.4170783544597,"Japan Research Quarterly","0021-3551",1,NA,0.548,0.122333333333333,0.399333333333333
"170","Level III",40,"Journal of Economic Issues","0021-3624",1,2,0.815666666666667,0.146666666666667,0.64
"171","Level IV",21.8200313264009,"Jahrbücher für Nationalökonomie und Statistik","0021-4027",1,1,0.500333333333333,0.187,0.438
"172","Level IV",20,"Japanese Economic Studies","0021-4841",1,NA,NA,NA,NA
"173","Level IV",20,"Japanese Psychological Research","0021-5368",NA,1,0.826,0.29,0.815
"174","Level I-B",145.528925954622,"Journal of Accounting Research","0021-8456",1,5,6.031,3.50966666666667,4.402
"175","Level II",60,"Journal of Advertising Research","0021-8499",NA,3,2.76366666666667,0.634,2.199
"176","Level II",67.8892379777525,"Journal of Agricultural Economics","0021-857X",1,3,2.96066666666667,0.809333333333333,2.345
"177","Level III",40,"Journal of Applied Behavioral Science","0021-8863",NA,2,2.492,0.668333333333333,1.51466666666667
"178","Level III",40,"Journal of Applied Behaviour Science","0021-8863",NA,2,2.492,0.668333333333333,1.51466666666667
"179","Level III",40,"Journal of Applied Probability","0021-9002",NA,2,0.820333333333333,0.643,0.672333333333333
"180","Level I-B",120,"Journal of Applied Psychology","0021-9010",NA,5,7.55133333333333,3.27166666666667,5.176
"181","Level III",40,"Journal of Applied Social Psychology","0021-9029",NA,2,1.90266666666667,0.665333333333333,1.50966666666667
"182","Level IV",20,"Journal of Bank Research","0021-9215",1,NA,NA,NA,NA
"183","Level IV",20,"Journal of Business","0021-9398",1,NA,NA,NA,NA
"184","No Level",NA,"Journal of Business Law","0021-9460",NA,2,NA,NA,NA
"185","Level II",71.3368674822034,"Journal of Common Market Studies","0021-9886",1,3,2.78366666666667,0.991666666666667,2.45933333333333
"186","Level I-C",105.028104012857,"Journal of Conflict Resolution","0022-0027",1,3,3.57666666666667,2.33066666666667,2.86866666666667
"187","Level III",52.3276834431222,"Journal of Consumer Affairs","0022-0078",1,2,2.12866666666667,0.535,1.877
"188","Level II",60,"Journal of Cross Cultural Psychology","0022-0221",NA,3,2.27,0.801333333333333,1.592
"189","Level IV",20,"Journal of Developing Areas","0022-037X",1,1,NA,NA,NA
"190","Level II",60,"Journal of Development Studies","0022-0388",1,3,2.00666666666667,0.771,1.551
"191","Level IV",29.1876877484688,"Journal of Economic Education","0022-0485",1,1,0.975,0.220333333333333,0.817666666666667
"192","Level II",68.4342226791778,"Journal of Economic History","0022-0507",1,3,1.695,1.44633333333333,1.53133333333333
"193","Level I-A",150,"Journal of Economic Literature","0022-0515",1,5,8.53633333333333,8.28066666666667,5.216
"194","Level I-B",120,"Journal of Economic Theory","0022-0531",1,5,1.529,2.15033333333333,1.16966666666667
"195","Level IV",20,"Journal of Employment Counseling","0022-0787",NA,1,1.04033333333333,0.211,0.561
"196","Level I-B",120,"Journal of Experimental Social Psychology","0022-1031",NA,5,3.771,1.85066666666667,3.134
"197","Level I-A",150,"Journal of Finance","0022-1082",1,5,9.49266666666667,10.5806666666667,6.137
"198","Level I-B",120,"Journal of Financial and Quantitative Analysis","0022-1090",1,5,3.27066666666667,2.33733333333333,2.34066666666667
"199","Level III",40,"Journal of Higher Education","0022-1546",NA,2,2.79033333333333,0.890333333333333,2.16633333333333
"200","Level I-A",150,"Journal of Human Resources","0022-166X",1,3,6.10666666666667,5.67433333333333,4.69533333333333
"201","Level II",60.5569101527752,"Journal of Industrial Economics","0022-1821",1,3,1.34766666666667,1.28266666666667,0.927666666666667
"202","Level III",40,"Journal of Industrial Relations","0022-1856",NA,2,1.44833333333333,0.387666666666667,1.60833333333333
"203","Level IV",20,"Journal of Interamerican Studies and World Affairs","0022-1937",1,NA,NA,NA,NA
"204","Level I-B",120,"Journal of International Economics","0022-1996",1,5,3.38333333333333,2.668,2.213
"205","Level III",40,"Journal of Latin American Studies","0022-216X",NA,2,1.017,0.571666666666667,0.763
"206","Level II",79.4315146734504,"Journal of Law and Economics","0022-2186",1,3,1.97133333333333,1.90366666666667,1.05833333333333
"207","Level I-B",120,"Journal of Management Studies","0022-2380",NA,5,7.792,2.91966666666667,5.352
"208","Level I-A",150,"Journal of Marketing","0022-2429",1,5,9.446,3.25966666666667,6.80833333333333
"209","Level I-B",140.943647060404,"Journal of Marketing Research","0022-2437",1,5,6.07566666666667,3.17933333333333,4.22666666666667
"210","Level III",40.1303553956903,"Journal of Mathematical Psychology","0022-2496",NA,2,2.83,1.366,2.611
"211","Level III",40,"Journal of Modern African Studies","0022-278X",NA,2,1.32133333333333,0.587333333333333,0.91
"212","Level I-B",120,"Journal of Money, Credit, and Banking","0022-2879",1,5,2.32033333333333,1.89133333333333,1.53566666666667
"213","Level II",60,"Journal of Optimization Theory and Applications","0022-3239",NA,3,1.59766666666667,0.813666666666667,1.40733333333333
"214","Level I-C",108.178606028525,"Journal of Peace Research","0022-3433",1,NA,3.938,2.30333333333333,2.547
"215","Level I-B",120,"Journal of Personality and Social Psychology","0022-3514",NA,5,7.47633333333333,3.72566666666667,5.989
"216","Level I-A",150,"Journal of Political Economy","0022-3808",1,5,6.81733333333333,11.635,5.69766666666667
"217","Level IV",28.5024631306191,"Journal of Psychology","0022-3980",NA,1,2.269,0.641,1.499
"218","Level II",72.8107150472026,"Journal of Regional Science","0022-4146",1,3,2.767,1.05766666666667,2.09166666666667
"219","Level IV",20,"Journal of Rehabilitation","0022-4154",NA,1,0.748666666666667,0.135666666666667,0.430666666666667
"220","Level I-B",120,"Journal of Retailing","0022-4359",NA,5,6.38566666666667,1.59333333333333,5.008
"221","Level II",62.610542475428,"Journal of Risk and Insurance","0022-4367",1,3,2.12133333333333,0.896333333333333,1.63766666666667
"222","Level III",40,"Journal of Safety Research","0022-4375",NA,2,3.00166666666667,0.972333333333333,2.552
"223","Level II",60,"Journal of School Psychology","0022-4405",NA,3,4.12466666666667,1.44266666666667,2.78533333333333
"224","Level IV",23.5531405556236,"Journal of Social Psychology","0022-4545",NA,1,1.58233333333333,0.533,1.19
"225","Level III",44.3055002656203,"Journal of Transport Economics and Policy","0022-5258",1,2,1.41766666666667,0.499333333333333,1.087
"226","No Level",NA,"Journal of Transport History","0022-5266",NA,2,NA,NA,NA
"227","Level IV",20,"Columbia Journal of World Business","0022-5428",1,NA,NA,NA,NA
"228","Level IV",20,"Journal of World Trade Law","0022-5444",1,NA,NA,NA,NA
"229","Level IV",20,"Kansantaloudellinen Aikakauskirja","0022-8427",1,NA,NA,NA,NA
"230","Level IV",20,"Keio Economic Studies","0022-9709",1,NA,NA,NA,NA
"231","Level IV",20,"Economic Review (Keizai Kenkyu)","0022-9733",1,NA,NA,NA,NA
"232","Level IV",20,"Konjunkturpolitik","0023-3498",1,NA,NA,NA,NA
"233","Level IV",20,"Kredit und Kapital","0023-4591",1,1,NA,NA,NA
"234","Level II",60,"Kyklos","0023-5962",1,3,1.605,0.598666666666667,1.52433333333333
"235","Level IV",20,"Kyoto University Economic Review","0023-6055",1,NA,NA,NA,NA
"236","Level III",40,"Labor History","0023-656X",1,2,0.592,0.222,0.631333333333333
"237","Level II",68.8997089664798,"Land Economics","0023-7639",1,3,2.62,0.954,1.58666666666667
"238","Level IV",20,"Law and Contemporary Problems","0023-9186",1,NA,NA,NA,NA
"239","Level IV",20,"Liiketaloudellinen Aikakauskirja","0024-3469",1,NA,NA,NA,NA
"240","Level IV",20,"Lloyds Bank Review","0024-547X",1,NA,NA,NA,NA
"241","Level II",60,"Long Range Planning","0024-6301",NA,3,5.383,1.09933333333333,3.54166666666667
"242","Level IV",20,"Matekon","0025-1127",1,NA,NA,NA,NA
"243","Level IV",20,"Management Accounting","0025-1690",1,NA,NA,NA,NA
"244","Level III",40,"Management Decision","0025-1747",NA,2,2.51866666666667,0.335666666666667,2.07033333333333
"245","Level I-B",141.810696773974,"Management Science","0025-1909",1,5,5.31633333333333,3.69766666666667,3.898
"246","Level IV",20,"Manchester School of Economic and Social Studies","0025-2034",1,NA,NA,NA,NA
"247","Level IV",20,"Margin","0025-2921",1,NA,NA,NA,NA
"248","Level I-B",120,"Mathematical Programming","0025-5610",NA,5,3.47766666666667,2.721,3.091
"249","Level IV",34.184481012996,"Metrika","0026-1335",1,NA,0.742666666666667,0.454333333333333,0.755666666666667
"250","Level IV",33.6395444885043,"Metroeconomica","0026-1386",1,1,1.09,0.295666666666667,1.177
"251","Level IV",20,"Michigan Academician","0026-2005",1,NA,NA,NA,NA
"252","Level II",67.0723436465577,"Michigan Law Review","0026-2234",1,NA,2.285,1.013,2.871
"253","Level IV",20,"Mondo Aperto","0026-9492",1,NA,NA,NA,NA
"254","Level IV",20,"Moneda y Crédito","0026-959X",1,NA,NA,NA,NA
"255","Level IV",20,"Moneta e Credito","0026-9611",1,NA,NA,NA,NA
"256","Level I-A",150,"Proceedings of the National Academy of Sciences of the United States of America","0027-8424",1,NA,10.5263333333333,4.48833333333333,9.49866666666667
"257","Level IV",20,"National Institute Economic Review","0027-9501",1,1,NA,NA,NA
"258","Level III",48.2027238281273,"National Tax Journal","0028-0283",1,2,1.12633333333333,0.799666666666667,0.675333333333333
"259","Level IV",20,"National Westminster Bank Quarterly Review","0028-0399",1,NA,NA,NA,NA
"260","Level IV",20,"Nationaløkonomisk Tidsskrift","0028-0453",1,NA,NA,NA,NA
"261","Level IV",26.0417060467306,"Natural Resources Journal","0028-0739",1,1,0.735,0.211,0.553666666666667
"262","Level IV",20,"Federal Reserve Bank of Boston New England Economic Review","0028-4726",1,NA,NA,NA,NA
"263","Level IV",20,"New England Economic Review","0028-4726",1,NA,NA,NA,NA
"264","Level IV",20,"New Mexico Business","0028-6168",1,NA,NA,NA,NA
"265","Level IV",20,"New York University Journal of International Law and Politics","0028-7873",1,NA,NA,NA,NA
"266","Level IV",28.8608029973572,"New Zealand Geographer","0028-8144",1,NA,0.843333333333333,0.246666666666667,0.7
"267","Level IV",20,"Nigerian Journal of Economic and Social Studies","0029-0092",1,NA,NA,NA,NA
"268","Level IV",20,"WIFO-Monatsberichte","0029-9898",1,NA,NA,NA,NA
"269","Level I-B",120,"Operations Research","0030-364X",1,5,3.376,2.11866666666667,2.43233333333333
"270","No Level",NA,"Opsearch: Journal of the OR Society of India","0030-3887",NA,1,NA,NA,NA
"271","Level IV",20,"Oregon Business Review","0030-4638",1,NA,NA,NA,NA
"272","Level II",60,"Oxford Economic Papers","0030-7653",1,3,1.415,0.817,0.978
"273","Level IV",20,"Pakistan Development Review","0030-9729",1,NA,NA,NA,NA
"274","Level III",40,"Parliamentary Affairs","0031-2290",NA,2,1.48166666666667,0.668333333333333,1.50033333333333
"275","Level I-B",120,"Personnel Psychology","0031-5826",NA,5,8.143,3.78133333333333,6.33366666666667
"276","Level IV",20,"Philippine Economic Journal","0031-7500",1,NA,NA,NA,NA
"277","Level II",83.8131989700707,"Policy Sciences","0032-2687",1,1,3.78133333333333,1.157,3.08366666666667
"278","Level III",40,"Political Quarterly","0032-3179",NA,2,1.171,0.416333333333333,1.378
