Level,Points,Journal,ISSN,Econ,ABS,I,A,T,B.Points,,,
Level I-B,120.000,RAND Journal of Economics,0741-6261,1,5,2.316,3.054,1.609,99.159,,,
Level I-B,120.000,Review of Accounting Studies,1380-6653,1,5,3.158,1.669,2.099,89.462,,,
Level I-B,120.000,Review of Environmental Economics and Policy,1750-6816,1,2,6.851,3.284,5.852,148.673,,,
Level I-B,120.000,Review of Finance,1572-3097,1,5,3.031,2.331,2.283,99.122,,,
Level I-B,120.000,Transportation Research: Part B: Methodological,0191-2615,1,5,5.332,1.370,4.484,100.287,,,
Level I-C,116.135,World Bank Research Observer,0257-3032,1,2,3.846,2.888,2.444,116.135,,,
Level I-C,113.805,Yale Law Journal,0044-0094,1,0,4.743,2.211,5.595,113.805,,,
Level I-C,111.259,Journal of Health Economics,0167-6296,1,3,3.952,2.487,3.143,111.259,,,
Level I-C,110.213,Journal of Development Economics,0304-3878,1,3,3.690,2.592,2.570,110.213,,,
Level I-C,109.301,Quarterly Journal of Political Science,1554-0626,1,3,2.771,3.371,1.636,109.301,,,
Level I-C,109.035,Annual Review of Financial Economics,1941-1367,1,3,3.048,3.044,1.864,109.035,,,
Level I-C,108.953,Socio-Economic Review,1475-1461,1,3,4.522,2.047,3.373,108.953,,,
Level I-C,108.179,Journal of Peace Research,0022-3433,1,0,3.938,2.303,2.547,108.179,,,
Level I-C,107.662,Organization and Environment,1086-0266,1,2,7.077,1.264,5.627,107.662,,,
Level I-C,105.028,Journal of Conflict Resolution,0022-0027,1,3,3.577,2.331,2.869,105.028,,,
Level I-C,103.418,Population and Development Review,0098-7921,1,0,4.044,1.972,3.034,103.418,,,
Level I-C,103.137,Journal of Public Economics,0047-2727,1,3,2.886,2.742,1.965,103.137,,,
Level I-C,103.042,Demography,0070-3370,1,0,3.908,2.020,2.714,103.042,,,
Level I-C,102.934,Journal of Environmental Economics and Management,0095-0696,1,3,4.319,1.822,3.420,102.934,,,
Level I-C,99.873,Manufacturing and Service Operations Management,1523-4614,1,3,3.475,2.077,2.914,99.873,,,
Level I-C,99.642,IMF Economic Review,2041-4161,1,3,2.751,2.607,1.723,99.642,,,
Level I-C,99.617,Journal of Urban Economics,0094-1190,1,3,3.338,2.147,2.532,99.617,,,
Level I-C,99.551,Review of International Organizations,1559-7431,1,0,3.607,1.983,2.554,99.551,,,
Level I-C,98.918,Journal of Applied Econometrics,0883-7252,1,3,2.938,2.391,2.097,98.918,,,
Level I-C,98.867,Water Resources Research,0043-1397,1,0,4.891,1.434,4.271,98.867,,,
Level I-C,98.346,"Cambridge Journal of Regions, Economy and Society",1752-1378,1,3,4.937,1.399,3.758,98.346,,,
Level I-C,97.953,American Economic Journal: Microeconomics,1945-7669,1,3,2.121,3.220,1.424,97.953,,,
Level I-C,97.595,California Management Review,0008-1256,1,3,5.335,1.267,4.070,97.595,,,
Level I-C,97.411,Quantitative Economics,1759-7323,1,3,1.888,3.561,1.417,97.411,,,
Level I-C,97.058,Journal of Economic Surveys,0950-0804,1,2,3.857,1.725,2.728,97.058,,,
Level I-C,95.547,European Journal of International Relations,1354-0661,1,0,3.733,1.704,2.925,95.547,,,
Level I-C,95.533,World Development,0305-750X,1,3,4.433,1.434,3.647,95.533,,,
Level I-C,94.701,Policy Studies Journal,0190-292X,1,0,4.219,1.470,3.515,94.701,,,
Level I-C,93.983,Energy Economics,0140-9883,1,3,5.322,1.140,4.421,93.983,,,
Level I-C,93.419,American Statistician,0003-1305,1,0,3.397,1.756,3.838,93.419,,,
Level I-C,93.346,Food Policy,0306-9192,1,3,4.688,1.270,3.696,93.346,,,
Level I-C,92.411,Review of Economic Dynamics,1094-2025,1,3,2.110,2.740,1.576,92.411,,,
Level I-C,91.918,Ecological Economics,0921-8009,1,3,5.082,1.121,4.219,91.918,,137.8764693,133.2
Level I-C,91.896,Energy Policy,0301-4215,1,2,5.396,1.055,4.654,91.896,,68.93823466,66.6
Level I-C,91.845,PharmacoEconomics,1170-7690,1,2,4.047,1.404,3.760,91.845,,,
Level I-C,91.739,Health Services Research,0017-9124,1,3,3.249,1.743,2.575,91.739,,,
Level I-C,91.598,Review of International Political Economy,0969-2290,1,3,3.715,1.518,2.548,91.598,,,
Level I-C,91.090,Economic Systems Research,0953-5314,1,2,4.537,1.223,2.753,91.090,,,
Level I-C,90.885,International Journal of Production Economics,0925-5273,1,3,5.604,0.984,4.846,90.885,,,
Level I-C,90.873,Mathematical Finance,0960-1627,1,3,2.679,2.057,2.498,90.873,,,
Level I-C,90.486,Regulation and Governance,1748-5983,1,3,3.939,1.382,2.967,90.486,,,
Level I-C,90.022,Studies in Family Planning,0039-3665,1,0,3.495,1.535,2.073,90.022,,,
Level II,89.650,Annual Review of Resource Economics,1941-1340,1,2,3.262,1.626,2.582,89.650,,,
Level II,88.933,Transportation Research: Part E: Logistics and Transportation Review,1366-5545,1,3,4.742,1.093,4.077,88.933,,,
Level II,88.269,Experimental Economics,1386-4157,1,3,2.560,1.981,2.156,88.269,,,
Level II,88.125,Foreign Affairs,0015-7120,1,0,3.260,1.549,3.903,88.125,,,
Level II,85.967,Transportation Research: Part A: Policy and Practice,0965-8564,1,3,4.400,1.069,3.570,85.967,,,
Level II,85.133,Annals of the American Academy of Political and Social Science,0002-7162,1,0,3.030,1.510,2.059,85.133,,,
Level II,85.037,Small Business Economics,0921-898X,1,3,4.631,0.985,3.738,85.037,,,
Level II,84.372,Transportation,0049-4488,1,2,3.932,1.134,3.563,84.372,,,
Level II,83.813,Policy Sciences,0032-2687,1,1,3.781,1.157,3.084,83.813,,,
Level II,83.727,International Journal of Urban and Regional Research,0309-1317,1,2,3.677,1.186,2.661,83.727,,,
Level II,83.700,International Journal of Forecasting,0169-2070,1,3,3.328,1.310,2.799,83.700,,,
Level II,83.494,Journal of the Royal Statistical Society: Series A (Statistics in Society),0964-1998,1,3,2.587,1.673,2.156,83.494,,,
Level II,83.286,Judgment and Decision Making,1930-2975,1,3,2.936,1.464,2.314,83.286,,,
Level II,83.182,Climate Policy,1469-3062,1,0,3.819,1.121,4.213,83.182,,,
Level II,83.126,ILR Review,0019-7939,1,3,2.611,1.637,2.334,83.126,,,
Level II,83.126,Industrial and Labor Relations Review,0019-7939,1,3,2.611,1.637,2.334,83.126,,,
Level II,83.114,China Quarterly,0305-7410,1,2,3.177,1.345,2.247,83.114,,,
Level II,82.483,Finance and Stochastics,0949-2984,1,3,2.118,1.973,1.906,82.483,,,
Level II,82.459,Global Environmental Politics,1526-3800,1,0,3.569,1.170,3.242,82.459,,,
Level II,81.654,Regional Studies,0034-3404,1,3,3.942,1.030,3.178,81.654,,,
Level II,80.110,Transportation Research: Part D: Transport and Environment,1361-9209,1,3,4.374,0.879,4.024,80.110,,,
Level II,80.085,Journal of Business Ethics,0167-4544,1,3,4.796,0.801,3.618,80.085,,,
Level II,79.703,Economic Development and Cultural Change,0013-0079,1,3,2.240,1.692,1.682,79.703,,,
Level II,79.432,Journal of Law and Economics,0022-2186,1,3,1.971,1.904,1.058,79.432,,,
Level II,79.113,Urban Studies,0042-0980,1,3,3.565,1.041,2.901,79.113,,,
Level II,78.969,European Economic Review,0014-2921,1,3,2.205,1.674,1.665,78.969,,,
Level II,78.442,Health Policy and Planning,0268-1080,1,0,3.186,1.136,2.614,78.442,,,
Level II,78.153,Journal of Financial Econometrics,1479-8409,1,3,2.125,1.686,1.728,78.153,,,
Level II,77.858,Conflict Management and Peace Science,0738-8942,1,0,2.320,1.528,1.679,77.858,,,
Level II,77.800,American Journal of Agricultural Economics,0002-9092,1,3,2.993,1.182,2.672,77.800,,,
Level II,77.120,Journal of Business Research,0148-2963,1,3,4.640,0.743,3.804,77.120,,,
Level II,76.889,Journal of Banking and Finance,0378-4266,1,3,3.251,1.052,2.135,76.889,,,
Level II,76.397,Journal of Risk and Uncertainty,0895-5646,1,3,2.224,1.510,1.921,76.397,,,
Level II,75.922,Health Economics,1057-9230,1,3,2.570,1.283,2.199,75.922,,,
Level II,75.501,World Bank Economic Review,0258-6770,1,3,2.272,1.429,1.785,75.501,,,
Level II,75.071,Education Finance and Policy,1557-3060,1,0,2.111,1.513,2.309,75.071,,,
Level II,74.559,New Political Economy,1356-3467,1,3,2.913,1.075,2.948,74.559,,,
Level II,73.608,Quantitative Marketing and Economics,1570-7156,1,3,1.556,1.941,0.816,73.608,,,
Level II,73.417,Agriculture and Human Values,0889-048X,1,0,3.565,0.841,2.713,73.417,,,
Level II,73.108,American Journal of Health Economics,2332-3493,1,0,1.881,1.574,1.710,73.108,,,
Level II,72.973,Post-Soviet Affairs,1060-586X,1,0,2.567,1.147,2.315,72.973,,,
Level II,72.811,Journal of Regional Science,0022-4146,1,3,2.767,1.058,2.092,72.811,,,
Level II,72.648,Economy and Society,0308-5147,1,3,2.690,1.081,1.771,72.648,,,
Level II,72.576,Economics of Education Review,0272-7757,1,2,2.244,1.292,1.389,72.576,,,
Level II,72.465,Entrepreneurship and Regional Development,0898-5626,1,3,4.248,0.680,2.868,72.465,,,
Level II,72.458,Journal of Economic Behavior and Organization,0167-2681,1,3,2.213,1.304,1.430,72.458,,,
Level II,72.191,Journal of Financial Markets,1386-4181,1,3,2.272,1.257,1.448,72.191,,,
Level II,71.946,Journal of Happiness Studies,1389-4978,1,1,3.136,0.902,2.277,71.946,,,
Level II,71.905,Journal of Population Economics,0933-1433,1,3,2.126,1.328,1.465,71.905,,,
Level II,71.840,European Journal of Population,0168-6577,1,0,2.635,1.069,1.773,71.840,,,
Level II,71.840,European Journal of Population/Revue Européenne de Démographie,0168-6577,1,0,2.635,1.069,1.773,71.840,,,
Level II,71.337,Journal of Common Market Studies,0021-9886,1,3,2.784,0.992,2.459,71.337,,,
Level II,71.065,Econometrics Journal,1368-4221,1,3,1.407,1.941,1.479,71.065,,,
Level II,70.928,Journal of Technology Transfer,0892-9912,1,2,4.041,0.672,3.705,70.928,,,
Level II,70.754,Economica,0013-0427,1,3,1.827,1.476,1.540,70.754,,,
Level II,70.754,"Economica, N.S.",0013-0427,1,3,1.827,1.476,1.540,70.754,,,
Level II,70.362,Agricultural Economics,0169-5150,1,2,2.984,0.889,2.139,70.362,,,
Level II,69.811,Regional Science and Urban Economics,0166-0462,1,3,2.346,1.106,1.679,69.811,,,
Level II,68.900,Land Economics,0023-7639,1,3,2.620,0.954,1.587,68.900,,,
Level II,68.832,Resources Policy,0301-4207,1,2,3.950,0.631,3.289,68.832,,,
Level II,68.820,"Journal of Law, Economics, and Organization",8756-6222,1,3,1.797,1.386,1.068,68.820,,,
Level II,68.795,Journal of Legal Studies,0047-2530,1,3,1.852,1.344,1.131,68.795,,,
Level II,68.479,Scandinavian Journal of Economics,0347-0520,1,3,1.716,1.431,1.221,68.479,,,
Level II,68.479,Swedish Journal of Economics,0347-0520,1,3,1.716,1.431,1.221,68.479,,,
Level II,68.434,Journal of Economic History,0022-0507,1,3,1.695,1.446,1.531,68.434,,,
Level II,68.366,Energy Journal,0195-6574,1,3,2.684,0.911,2.327,68.366,,,
Level II,68.210,Journal of International Money and Finance,0261-5606,1,3,2.552,0.952,1.806,68.210,,,
Level II,67.889,Journal of Agricultural Economics,0021-857X,1,3,2.961,0.809,2.345,67.889,,,
Level II,67.808,Management and Organization Review,1740-8776,1,3,3.109,0.768,2.067,67.808,,,
Level II,67.792,Journal of Financial Stability,1572-3089,1,3,2.762,0.864,2.261,67.792,,,
Level II,67.722,Labour Economics,0927-5371,1,3,1.841,1.293,1.243,67.722,,,
Level II,67.310,Industrial and Corporate Change,0960-6491,1,3,2.648,0.883,2.001,67.310,,,
Level II,67.072,Michigan Law Review,0026-2234,1,0,2.285,1.013,2.871,67.072,,,
Level II,66.954,European Journal of Health Economics,1618-7598,1,2,2.580,0.893,2.379,66.954,,,
Level II,66.903,Development and Change,0012-155X,1,3,2.476,0.928,1.810,66.903,,,
Level II,66.549,Resource and Energy Economics,0928-7655,1,2,2.615,0.866,2.039,66.549,,,
Level II,66.365,Migration Studies,2049-5838,1,0,2.285,0.983,1.508,66.365,,,
Level II,66.296,American Historical Review,0002-8762,1,0,1.946,1.150,1.693,66.296,,,
Level II,66.185,Review of International Studies,0260-2105,1,0,2.300,0.969,1.934,66.185,,,
Level II,65.957,Oxford Review of Economic Policy,0266-903X,1,2,2.306,0.957,2.425,65.957,,,
Level II,65.806,Economics and Human Biology,1570-677X,1,2,2.516,0.871,2.245,65.806,,,
Level II,65.387,Journal of Comparative Economics,0147-5967,1,3,2.262,0.952,1.645,65.387,,,
Level II,64.945,China Economic Review,1043-951X,1,2,2.775,0.761,2.214,64.945,,,
Level II,64.528,Journal of Economic Psychology,0167-4870,1,2,2.258,0.918,1.539,64.528,,,
Level II,64.200,TEST,1133-0686,1,0,1.607,1.271,1.270,64.200,,,
Level II,63.844,Networks and Spatial Economics,1566-113X,1,2,2.883,0.697,2.386,63.844,,,
Level II,63.779,Population Studies,0032-4728,1,0,2.042,0.982,1.687,63.779,,,
Level II,63.560,Financial Analysts Journal,0015-198X,1,3,2.022,0.982,1.637,63.560,,,
Level II,63.507,Environmental and Resource Economics,0924-6460,1,3,2.410,0.822,2.134,63.507,,,
Level II,63.297,Nonprofit and Voluntary Sector Quarterly,0899-7640,1,3,2.879,0.681,1.874,63.297,,,
Level II,63.265,Journal of Economics and Management Strategy,1058-6407,1,2,1.687,1.161,1.207,63.265,,,
Level II,63.089,Games and Economic Behavior,0899-8256,1,3,1.372,1.416,1.035,63.089,,,
Level II,63.081,Econometric Reviews,0747-4938,1,3,1.538,1.263,1.074,63.081,,,
Level II,63.034,Journal of Economic Inequality,1569-1721,1,2,1.860,1.042,1.119,63.034,,,
Level II,62.981,Environment and Planning C: Politics and Space,2399-6544,1,0,2.673,0.723,2.282,62.981,,,
Level II,62.717,Human Resource Development Quarterly,1044-8004,1,2,3.560,0.537,2.854,62.717,,,
Level II,62.625,Social Service Review,0037-7961,1,0,2.192,0.868,1.367,62.625,,,
Level II,62.611,Journal of Risk and Insurance,0022-4367,1,3,2.121,0.896,1.638,62.611,,,
Level II,62.559,European Review of Agricultural Economics,0165-1587,1,3,2.533,0.749,2.136,62.559,,,
Level II,62.556,International Journal of Central Banking,1815-4654,1,2,1.678,1.130,1.045,62.556,,,
Level II,62.444,Applied Economic Perspectives and Policy,2040-5790,1,2,2.227,0.847,1.988,62.444,,,
Level II,62.380,Urban Affairs Review,1078-0874,1,0,2.272,0.828,2.056,62.380,,,
Level II,62.340,Bulletin of the Institute of Economics and Statistics (Oxford University),0305-9049,1,3,1.744,1.077,1.140,62.340,,,
Level II,62.340,Oxford Bulletin of Economics and Statistics,0305-9049,1,3,1.744,1.077,1.140,62.340,,,
Level II,62.040,Journal of Economic Dynamics and Control,0165-1889,1,3,1.721,1.076,1.428,62.040,,,
Level II,61.700,Socio-Economic Planning Sciences,0038-0121,1,2,2.843,0.642,2.652,61.700,,,
Level II,60.861,Explorations in Economic History,0014-4983,1,3,1.440,1.218,1.245,60.861,,,
Level II,60.557,Journal of Industrial Economics,0022-1821,1,3,1.348,1.283,0.928,60.557,,,
Level II,60.159,Journal of Environment and Development,1070-4965,1,0,2.536,0.669,2.438,60.159,,,
Level II,60.017,Financial Management,0046-3892,1,3,2.144,0.786,1.397,60.017,,,
Level II,60.000,Business History,0007-6791,1,3,1.209,0.378,1.079,38.010,,,
Level II,60.000,Cambridge Journal of Economics,0309-166X,1,3,2.158,0.671,1.768,56.920,,,
Level II,60.000,Canadian Journal of Economics,0008-4085,1,3,1.093,0.802,0.687,47.735,,,
Level II,60.000,Economic and Industrial Democracy,0143-831X,1,3,1.721,0.503,1.735,47.527,,,
Level II,60.000,Economic Inquiry,0095-2583,1,3,1.485,0.944,1.160,56.286,,,
Level II,60.000,Economic Theory,0938-2259,1,3,1.164,1.157,1.040,55.502,,,
Level II,60.000,Economics Letters,0165-1765,1,3,1.150,0.548,1.067,42.535,,,
Level II,60.000,Enterprise and Society,1467-2227,1,3,0.730,0.343,0.539,30.801,,,
Level II,60.000,European Financial Management,1354-7798,1,3,1.762,0.579,1.315,50.365,,,
Level II,60.000,European Journal of Finance,1351-847X,1,3,1.276,0.373,1.063,38.558,,,
Level II,60.000,European Journal of Industrial Relations,0959-6801,1,3,1.828,0.486,1.338,47.969,,,
Level II,60.000,European Review of Economic History,1361-4916,1,3,1.224,0.857,1.054,50.846,,,
Level II,60.000,Insurance: Mathematics and Economics,0167-6687,1,3,1.701,0.643,1.313,51.593,,,
Level II,60.000,International Journal of Finance and Economics,1076-9307,1,3,1.000,0.304,0.794,32.950,,,
Level II,60.000,International Journal of Industrial Organization,0167-7187,1,3,1.329,1.025,0.939,55.724,,,
Level II,60.000,International Review of Financial Analysis,1057-5219,1,3,2.193,0.442,1.919,49.455,,,
Level II,60.000,Journal of Business Finance and Accounting,0306-686X,1,3,1.900,0.461,1.525,47.734,,,
Level II,60.000,Journal of Development Studies,0022-0388,1,3,2.007,0.771,1.551,58.251,,,
Level II,60.000,Journal of Empirical Finance,0927-5398,1,3,1.594,0.691,1.252,51.732,,,
Level II,60.000,Journal of Financial Research,0270-2592,1,3,2.106,0.394,1.205,46.839,,,
Level II,60.000,Journal of Financial Services Research,0920-8550,1,3,1.771,0.690,1.560,53.622,,,
Level II,60.000,Journal of Futures Markets,0270-7314,1,3,1.407,0.421,1.382,41.630,,,
Level II,60.000,Journal of Institutional Economics,1744-1374,1,3,1.861,0.553,1.792,50.516,,,
Level II,60.000,"Journal of International Financial Markets, Institutions and Money",1042-4431,1,3,2.463,0.556,2.036,55.802,,,
Level II,60.000,Journal of Mathematical Economics,0304-4068,1,3,0.679,0.626,0.617,37.068,,,
Level II,60.000,Journal of Real Estate Finance and Economics,0895-5638,1,3,1.461,0.465,1.092,43.680,,,
Level II,60.000,Journal of Time Series Analysis,0143-9782,1,3,1.209,1.022,0.850,53.831,,,
Level II,60.000,Kyklos,0023-5962,1,3,1.605,0.599,1.524,49.306,,,
Level II,60.000,OR Spectrum,0171-6468,1,3,2.216,0.755,1.733,59.863,,,
Level II,60.000,OR Spektrum,0171-6468,1,3,2.216,0.755,1.733,59.863,,,
Level II,60.000,Oxford Economic Papers,0030-7653,1,3,1.415,0.817,0.978,52.603,,,
Level II,60.000,Public Choice,0048-5829,1,3,1.402,0.704,1.023,49.759,,,
Level II,60.000,Quantitative Finance,1469-7688,1,3,1.399,0.558,1.339,45.835,,,
Level II,60.000,Real Estate Economics,1080-8620,1,3,1.574,0.906,1.484,56.606,,,
Level II,60.000,Review of Income and Wealth,0034-6586,1,3,1.696,0.950,1.273,59.081,,,
Level II,60.000,Social Choice and Welfare,0176-1714,1,3,0.765,0.576,0.642,37.538,,,
Level III,59.850,Industry and Innovation,1366-2716,1,2,2.620,0.638,2.615,59.850,,,
Level III,59.300,Feminist Economics,1354-5701,1,2,2.135,0.763,1.515,59.300,,,
Level III,59.231,Emerging Markets Review,1566-0141,1,2,2.929,0.554,2.357,59.231,,,
Level III,59.197,Housing Studies,0267-3037,1,0,2.311,0.701,1.925,59.197,,,
Level III,57.951,"Journal of Health Politics, Policy and Law",0361-6878,1,0,1.719,0.887,1.680,57.951,,,
Level III,57.898,Economics of Energy and Environmental Policy,2160-5882,1,0,2.034,0.748,2.297,57.898,,,
Level III,57.818,European Journal of Political Economy,0176-2680,1,2,1.938,0.781,1.491,57.818,,,
Level III,57.277,Health Care Management Science,1386-9620,1,1,2.246,0.656,1.838,57.277,,,
Level III,56.835,"Health Economics, Policy and Law",1744-1331,1,0,1.890,0.763,1.735,56.835,,,
Level III,56.318,Journal of Human Capital,1932-8575,1,0,1.465,0.959,1.128,56.318,,,
Level III,56.017,Journal of Productivity Analysis,0895-562X,1,2,1.932,0.716,1.415,56.017,,,
Level III,55.341,4OR: A Quarterly Journal of Operations Research,1619-4500,1,2,1.803,0.741,1.468,55.341,,,
Level III,55.341,"4OR: Quarterly Journal of the Belgian, French and Italian Operations Research Societies",1619-4500,1,2,1.803,0.741,1.468,55.341,,,
Level III,54.872,Marine Resource Economics,0738-1360,1,1,2.244,0.581,2.506,54.872,,,
Level III,54.562,Social Indicators Research,0303-8300,1,0,2.240,0.573,1.742,54.562,,,
Level III,54.394,Journal of Urban Affairs,0735-2166,1,0,1.975,0.644,1.323,54.394,,,
Level III,54.221,Expert Review of Pharmacoeconomics and Outcomes Research,1473-7167,1,0,1.949,0.647,1.886,54.221,,,
Level III,54.100,Journal of Housing Economics,1051-1377,1,2,1.760,0.712,1.348,54.100,,,
Level III,53.908,Papers in Regional Science,1056-8190,1,0,2.006,0.618,1.966,53.908,,,
Level III,53.671,Environment and Development Economics,1355-770X,1,2,1.856,0.660,1.303,53.671,,,
Level III,53.348,Spatial Economic Analysis,1742-1772,1,2,1.847,0.652,1.587,53.348,,,
Level III,52.580,Economics and Politics,0954-1985,1,2,1.296,0.891,1.260,52.580,,,
Level III,52.553,Population Research and Policy Review,0167-5923,1,0,1.653,0.697,1.108,52.553,,,
Level III,52.328,Journal of Consumer Affairs,0022-0078,1,2,2.129,0.535,1.877,52.328,,,
Level III,52.088,American Law and Economics Review,1465-7252,1,2,1.175,0.956,0.984,52.088,,,
