"Title","ISSN","AEA","SCIMAGO","JCI"
"American Journal of Business","1935-5181","X",NA,NA
"American Journal of Economics and Sociology","0002-9246","X","X","X"
"American Journal of Finance and Accounting","1752-7767","X",NA,NA
"American Journal of Health Economics","2332-3493","X",NA,"X"
"American Law and Economics Review","1465-7252","X",NA,"X"
"American Political Science Review","0003-0554","X",NA,NA
"American Prospect","1049-7285","X",NA,NA
"American Real Estate and Urban Economics Association Journal","0270-0484","X",NA,NA
"American Review of Political Economy","1551-1383","X",NA,NA
"American Statistician","0003-1305","X",NA,NA
"Amfiteatru Economic","1582-9146","X",NA,"X"
"Anáhuac Journal","1405-8448","X",NA,NA
"Análise Econômica","0102-9924","X",NA,NA
"Análisis Económico","0185-3937","X",NA,NA
"Análisis Financiero","0210-2358","X",NA,NA
"Annales d'Economie et de Statistique","0769-489X","X",NA,NA
"Annales de l'INSEE","0019-0209","X",NA,NA
"Annales de Sciences Economiques Appliqués","0003-4207","X",NA,NA
"Annales Universitatis Apulensis Series Oeconomica","1454-9409","X",NA,NA
"Annals of ""Dunarea de Jos"" University of Galati: Fascicle 1: Economics and Applied Informatics","1584-0409","X",NA,NA
"Annals of Actuarial Science","1748-4995","X","X",NA
"Annals of Corporate Governance","2381-6724","X",NA,NA
"Annals of Economic and Social Measurement","0044-832X","X",NA,NA
"Annals of Economics and Finance","1529-7373","X","X","X"
"Annals of Economics and Statistics/Annales d'Économie et de Statistique","2115-4430","X","X",NA
"Annals of Finance","1614-2446","X",NA,NA
"Annals of Financial Economics","2010-4952","X",NA,NA
"Annals of Public and Co-operative Economy","0770-8548","X",NA,NA
"Annals of Public and Cooperative Economics","1370-4788","X","X","X"
"Annals of Regional Science","0570-1864","X",NA,"X"
"Annals of the American Academy of Political and Social Science","0002-7162","X",NA,NA
"Annals of the Society for the History of Economic Thought","0453-4786","X",NA,NA
"Annual Review of Economics","1941-1383","X","X","X"
"Annual Review of Financial Economics","1941-1367","X","X","X"
"Annual Review of Resource Economics","1941-1340","X","X","X"
"Anthropology of Work Review","0883-024X","X",NA,NA
"Antitrust Bulletin","0003-603X","X","X",NA
"Applied Econometrics","1993-7601","X","X",NA
"Applied Econometrics and International Development","1578-4487","X","X",NA
"Applied Economic Analysis","2632-7627","X",NA,NA
"Applied Economic Perspectives and Policy","2040-5790","X","X","X"
"Applied Economics","0003-6846","X","X","X"
"Applied Economics Letters","1350-4851","X","X","X"
"Applied Economics Quarterly","1611-6607","X",NA,NA
"Applied Finance Letters","2253-5799","X",NA,NA
"Applied Financial Economics","0960-3107","X",NA,NA
"Applied Financial Economics Letters","1744-6546","X",NA,NA
"Applied Health Economics and Health Policy","1175-5652","X","X","X"
"Applied Mathematical Finance","1350-486X","X",NA,NA
"Apuntes del CENES","0120-3053","X",NA,NA
"Aquaculture Economics and Management","1365-7305","X",NA,NA
"Archives of Economic History","1108-7005","X",NA,NA
"Argomenti: Rivista di Economia, Cultura e Ricerca Sociale: Nuova Serie","1125-9116","X",NA,NA
"Arquivo do Instituto Gulbenkian de Ciência","0374-0218","X",NA,NA
"Artha-Vikas","0004-3567","X",NA,NA
"Arthaniti","2517-2654","X",NA,NA
"ASEAN Economic Bulletin","0217-4472","X",NA,NA
"Asia-Pacific Development Journal","1020-1246","X",NA,NA
"Asia-Pacific Financial Markets","1387-2834","X",NA,NA
"Asia-Pacific Journal of Accounting and Economics","1608-1625","X","X","X"
"Asia-Pacific Journal of Financial Studies","2041-9945","X",NA,NA
"Asia-Pacific Journal of Risk and Insurance","2194-606X","X",NA,NA
"Asia-Pacific Journal of Social Sciences","0975-5942","X",NA,NA
"Asia-Pacific Sustainable Development Journal","2617-8400","X",NA,NA
"Asia and the Pacific Policy Studies","2050-2680","X",NA,NA
"Asia Europe Journal","1610-2932","X",NA,NA
"Asia Pacific Business Review","1360-2381","X",NA,NA
"Asia Pacific Journal of Economics and Business","1326-8481","X",NA,NA
"Asia Pacific Management Review","1029-3132","X",NA,NA
"Asian-African Journal of Economics and Econometrics","0972-3986","X",NA,NA
"Asian-Pacific Economic Literature","0818-9935","X","X","X"
"Asian Academy of Management Journal of Accounting and Finance","1823-4992","X",NA,NA
"Asian Business and Management","1472-4782","X",NA,NA
"Asian Development Review","0116-1105","X",NA,NA
"Asian Economic and Financial Review","2305-2147","X",NA,NA
"Asian Economic Journal","1351-3958","X",NA,"X"
"Asian Economic Papers","1535-3516","X","X","X"
"Asian Economic Policy Review","1832-8105","X",NA,"X"
"Asian Journal of Economic Modelling","2313-2884","X",NA,NA
"Asian Journal of Law and Economics","2194-6086","X",NA,NA
"Assurances et Gestion des Risques/Insurance and Risk Management","1705-7299","X",NA,NA
"AStA: Advances in Statistical Analysis","1863-8171","X","X",NA
"Atlantic Economic Journal","0197-4254","X",NA,NA
"Atlantic Review of Economics/Revista Atlantica de Economia","2174-3835","X",NA,NA
"AUCO Czech Economic Review","1802-4696","X",NA,NA
"Aussenwirtschaft","0004-8216","X",NA,NA
"Australasian Journal of Applied Finance","0313-5934","X",NA,NA
"Australasian Journal of Regional Studies","1324-0935","X",NA,NA
"Australian Bulletin of Labour","0311-6336","X",NA,NA
"Australian Commodities Forecasts and Issues","1321-7844","X",NA,NA
"Australian Economic History Review","0004-8992","X","X","X"
"Australian Economic Papers","0004-900X","X",NA,"X"
"Australian Economic Review","0004-9018","X","X","X"
"Australian Journal of Agricultural and Resource Economics","1364-985X","X","X","X"
"Australian Journal of Agricultural Economics","0817-8763","X",NA,NA
"Australian Journal of Labour Economics","1328-1143","X",NA,NA
"Australian Journal of Management","0312-8962","X",NA,NA
"Australian Tax Forum","0812-695X","X",NA,NA
"B.E. Journal of Economic Analysis and Policy","2194-6108","X",NA,NA
"B.E. Journal of Economic Analysis and Policy: Advances in Economic Analysis and Policy","1935-1682","X","X","X"
"B.E. Journal of Macroeconomics","2194-6116","X",NA,NA
"B.E. Journal of Macroeconomics: Advances in Macroeconomics","1935-1690","X","X","X"
"B.E. Journal of Theoretical Economics","2194-6124","X",NA,NA
"B.E. Journal of Theoretical Economics: Advances in Theoretical Economics","1935-1704","X",NA,"X"
"Baltic Journal of Economics","1406-099X","X",NA,"X"
"Banca Impresa Società","1120-9453","X",NA,NA
"Banca Nazionale del Lavoro Quarterly Review","0005-4607","X",NA,NA
"Bancaria","0005-4623","X",NA,NA
"Bancni Vestnik","0005-4631","X",NA,NA
"Banco de España Economic Bulletin","1130-4987","X",NA,NA
"Bangladesh Development Studies","0304-095X","X",NA,NA
"Bank of Canada Review","0045-1460","X",NA,NA
"Bank of England Quarterly Bulletin","0005-5166","X",NA,NA
"Bank of Greece Economic Bulletin","1105-9729","X",NA,NA
"Bank of Israel Economic Review","0334-441X","X",NA,NA
"Bank of Korea Economic Papers","1226-7589","X",NA,NA
"Bank of Valletta Review","1017-7841","X",NA,NA
"Banking and Finance Review","1947-7945","X","X",NA
"Bankpedia Review","2239-8023","X",NA,NA
"Basic Income Studies","2194-6094","X",NA,NA
"Behavioral Research in Accounting","1050-4753","X",NA,NA
"Bell Journal of Economics","0361-915X","X",NA,NA
"Betriebswirtschaft/Business Administration Review","0342-7064","X",NA,NA
"Bio-based and Applied Economics","2280-6180","X",NA,NA
"Biquarterly Journal of Iran's Economic Essays","1735-3300","X",NA,NA
"BIS Quarterly Review","1683-0121","X",NA,NA
"Bogazici Journal: Review of Social, Economic and Administrative Studies","1300-9583","X",NA,NA
"Boletin de Estudios Económicos","0006-6249","X",NA,NA
"Borsa Istanbul Review","2214-8450","X","X","X"
"Brazilian Journal of Political Economy","0101-3157","X",NA,NA
"Brazilian Review of Econometrics","1980-2447","X",NA,NA
"Briefing Notes in Economics","0968-7017","X",NA,NA
"British Actuarial Journal","1357-3217","X","X",NA
"British Journal of Industrial Relations","0007-1080","X",NA,NA
"British Review of Economic Issues","0141-4739","X",NA,NA
"Brookings–Wharton Papers on Financial Services","1098-3651","X",NA,NA
"Brookings–Wharton Papers on Urban Affairs","1528-7084","X",NA,NA
"Brookings Papers on Economic Activity","0007-2303","X","X","X"
"Brussels Economic Review/Cahiers Economiques de Bruxelles","0008-0195","X",NA,NA
"Bulletin for International Fiscal Documentation","0007-4624","X",NA,NA
"Bulletin of Applied Economics","2056-3728","X",NA,NA
"Bulletin of Economic Research","0307-3378","X","X","X"
"Bulletin of Indonesian Economic Studies","0007-4918","X","X","X"
"Bulletin of Political Economy","0973-5747","X",NA,NA
"Bulletin of Statistics and Economics","0973-7022","X",NA,NA
"Bulletin of the Institute of Economics and Statistics (Oxford University)","0305-9049","X","X","X"
"Business and Economic History","0894-6825","X",NA,NA
"Business and Economic Review","2074-1693","X",NA,NA
"Business and Economics Research Journal","2619-9491","X",NA,NA
"Business and Management Studies: An International Journal","2148-2586","X",NA,NA
"Business and Politics","1369-5258","X",NA,NA
"Business Economics","0007-666X","X","X",NA
"Business Ethics Quarterly","1052-150X","X","X",NA
"Business History","0007-6791","X",NA,NA
"Business History Review","0007-6805","X",NA,NA
"Business Review","1990-6587","X",NA,NA
"Cahiers d'Economie et Sociologie Rurales","0755-9208","X",NA,NA
"Cahiers d'Economie Politique","0154-8344","X",NA,NA
"Cahiers Scientifiques du Transport","1150-8809","X",NA,NA
"California Business Review","2330-9156","X",NA,NA
"California Management Review","0008-1256","X",NA,NA
"Calisma Iliskileri Dergisi/Journal of Labour Relations","2146-0000","X",NA,NA
"Cambridge Economic Policy Review","0143-2532","X",NA,NA
"Cambridge Journal of Economics","0309-166X","X","X","X"
"Cambridge Journal of Regions, Economy and Society","1752-1378","X","X","X"
"Canadian Business Economics","0705-8330","X",NA,NA
"Canadian Journal of Agricultural Economics","0008-3976","X","X","X"
"Canadian Journal of Development Studies","0225-5189","X",NA,NA
"Canadian Journal of Economics","0008-4085","X","X","X"
"Canadian Journal of Regional Science","0705-4580","X",NA,NA
"Canadian Public Policy","0317-0861","X",NA,"X"
"Canadian Tax Journal","0008-5111","X",NA,NA
"Çankiri Karatekin Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi/Çankiri Karatekin University Journal of the Faculty of Economics and Administrative Sciences","1308-5549","X",NA,NA
"Capitalism and Society","1932-0213","X","X",NA
"Capitalism: A Journal of History and Economics","2576-6392","X",NA,NA
"Carnegie–Rochester Conference Series on Public Policy","0167-2231","X",NA,NA
"Cato Journal","0273-3072","X",NA,NA
"CEA Journal of Economics","1857-5269","X",NA,NA
"Central Bank Review","1303-0701","X","X",NA
"Central European Business Review","1805-4854","X",NA,NA
"Central European Journal for Operations Research and Economics","1210-0269","X",NA,NA
"Central European Journal of Operations Research","1435-246X","X",NA,NA
"Central European Public Administration Review","2591-2259","X",NA,NA
"CEPAL Review","0251-2920","X",NA,"X"
"CESifo Economic Studies","1610-241X","X","X","X"
"CESifo Forum","1615-245X","X","X",NA
"Challenge","0577-5132","X",NA,NA
"Chicago Journal of International Law","1529-0816","X",NA,NA
"China Accounting and Finance Review","1029-807X","X",NA,NA
"China Agricultural Economic Review","1756-137X","X","X","X"
"China and World Economy","1671-2234","X",NA,"X"
"China Economic Review","1043-951X","X","X","X"
"China Economist","1673-8837","X",NA,NA
"China Finance Review International","2044-1398","X",NA,NA
"China Quarterly","0009-4439","X",NA,NA
"China Quarterly","0305-7410","X",NA,NA
"China Review","1680-2012","X",NA,NA
"China: An International Journal","0219-7472","X","X",NA
"Chinese Economic Studies","0009-4552","X",NA,NA
"Chinese Economy","1097-1475","X",NA,NA
"Chinese Journal of Urban and Environmental Studies","2345-7481","X",NA,NA
"Choices","2162-2884","X",NA,NA
"Ciencia, Economía y Negocios","2613-876X","X",NA,NA
"CIMEXUS","1870-6479","X",NA,NA
"CIRIEC-España, Revista de Economía Pública, Social y Cooperativa","0213-8093","X",NA,NA
"Cityscape: A Journal of Policy Development and Research","1936-007X","X",NA,NA
"Cityscape: A Journal of Policy Development and Research Online","1939-1935","X",NA,NA
"Climate Change Economics","2010-0078","X","X","X"
"Climate Policy","1469-3062","X",NA,NA
"Clío América","1909-941X","X",NA,NA
"Cliometrica","1863-2505","X","X","X"
"Colección Estudios CIEPLAN","0716-0631","X",NA,NA
"Columbia Journal of World Business","0022-5428","X",NA,NA
"Comercio Exterior","0185-0601","X",NA,NA
"Communications and Strategies","1157-8637","X",NA,NA
"Communist Economies and Economic Transformation","1351-4393","X",NA,NA
"Community Development Journal","0010-3802","X",NA,NA
"Comparative Economic Research","1508-2008","X",NA,NA
"Comparative Economic Studies","0888-7233","X","X",NA
"Comparative Technology Transfer and Society","1542-0132","X",NA,NA
"Competition and Change","1024-5294","X",NA,"X"
"Competition and Regulation in Network Industries","1783-5917","X",NA,NA
"Competition Policy International","1554-0189","X",NA,NA
"Competitiveness Review","1059-5422","X",NA,NA
"Computational Economics","0927-7099","X",NA,"X"
"Computational Management Science","1619-697X","X",NA,NA
"Computer Science in Economics and Management","0921-2736","X",NA,NA
"Conflict Management and Peace Science","0738-8942","X","X",NA
"Consommation","0010-6593","X",NA,NA
"Constitutional Political Economy","1043-4062","X","X",NA
"Contaduría y Administración","0186-1042","X",NA,NA
"Contemporary Accounting Research/Recherche Comptable Contemporaine","0823-9150","X","X",NA
"Contemporary Economic Policy","1074-3529","X","X","X"
"Contemporary Economics","1897-9254","X",NA,NA
"Contemporary Policy Issues","0735-0007","X",NA,NA
"Contributions to Economic Analysis and Policy","1538-0645","X",NA,NA
"Contributions to Macroeconomics","1534-6005","X",NA,NA
"Contributions to Political Economy","0277-5921","X","X",NA
"Contributions to Theoretical Economics","1534-5971","X",NA,NA
"Corporate Ownership and Control","1727-9232","X",NA,NA
"Coyuntura Económica: Investigación Económica y Social","0120-3576","X",NA,NA
"Coyuntura Social","0121-2532","X",NA,NA
"Credit and Capital Markets/Kredit und Kapital","2199-1227","X",NA,NA
"Criterio Libre","1900-0642","X",NA,NA
"Critical Finance Review","2164-5744","X",NA,NA
"Critical Housing Analysis","2336-2839","X",NA,NA
"Critical Review","0891-3811","X",NA,NA
"Croatian Economic Survey","1330-4860","X","X",NA
"Croatian International Relations Review","1848-5782","X",NA,NA
"Croatian Operational Research Review","1848-0225","X","X",NA
"Croatian Review of Economic, Business and Social Statistics","1849-8531","X",NA,NA
"Cross-Cultural Management Journal","2286-0452","X",NA,NA
"Cuadernos de Desarrollo Rural","0122-1450","X","X",NA
"Cuadernos de Economia (National University of Colombia)","0121-4772","X",NA,NA
"Cuadernos de Economia (Pontifical Catholic University of Chile)","0716-0046","X",NA,NA
"Cuadernos Economicos de I.C.E.","0210-2633","X",NA,NA
"Cyprus Journal of Economics","1013-3224","X",NA,NA
"Cyprus Review","1015-2881","X","X",NA
"Czechoslovak Economic Digest","0045-9461","X",NA,NA
"Czechoslovak Economic Papers","0590-5001","X",NA,NA
"Danube: Law and Economics Review","1804-6746","X",NA,NA
"Data Envelopment Analysis Journal","2161-1823","X",NA,NA
"De Economist","0013-063X","X","X","X"
"Decision Analysis","1545-8490","X",NA,NA
"Decisions in Economics and Finance","1593-8883","X",NA,NA
"Defence and Peace Economics","1024-2694","X","X","X"
"Defence Economics","1043-0717","X",NA,NA
"Delaware Journal of Corporate Law","0364-9490","X",NA,NA
"Demografía y Economía","0185-0148","X",NA,NA
"Demography","0070-3370","X",NA,NA
"Desarrollo Económico","0046-001X","X","X",NA
"Desarrollo y Sociedad","0120-3584","X","X",NA
"Developing Economies","0012-1533","X","X","X"
"Development","1011-6370","X",NA,NA
"Development and Change","0012-155X","X",NA,NA
"Development and Finance/Fejlesztés és Finanszírozás: Quarterly Hungarian Economic Review","1589-3820","X",NA,NA
"Development Policy Review","0950-6764","X",NA,NA
"Development Southern Africa","0376-835X","X",NA,NA
"Die Unternehmung/Swiss Journal of Business Research and Practice","0042-059X","X",NA,NA
"Digital Policy, Regulation and Governance","2398-5038","X",NA,NA
"Dimensión Empresarial","1692-8563","X",NA,NA
"Division of Labour and Transaction Costs","0219-8711","X",NA,NA
"Dogus University Journal","1302-6739","X",NA,NA
"Dokuz Eylul University Faculty of Economic and Administrative Sciences Journal","1302-504X","X",NA,NA
"Dynamic Games and Applications","2153-0785","X",NA,NA
"e-Finanse","1734-039X","X",NA,NA
"e-Pública","1885-5628","X",NA,NA
"East–West Journal of Economics and Business","2241-3170","X",NA,NA
"East–West Series in Economics, Business, and the Environment","1108-2992","X",NA,NA
"East Asian Economic Review","2508-1640","X",NA,NA
"Eastern Africa Economic Review","1011-4750","X",NA,NA
"Eastern Economic Journal","0094-5056","X","X",NA
"Eastern European Business and Economics Journal","2256-0521","X",NA,NA
"Eastern European Economics","0012-8775","X","X","X"
"Ecological Economics","0921-8009","X","X","X"
"Econ Journal Watch","1933-527X","X","X","X"
"Econometric Research in Finance","2451-1935","X",NA,NA
"Econometric Reviews","0747-4938","X","X","X"
"Econometric Theory","0266-4666","X","X","X"
"Econometrica","0012-9682","X","X","X"
"Econometrics","2225-1146","X","X",NA
"Econometrics Journal","1368-4221","X","X","X"
"Econometrics Letters","2148-6212","X",NA,NA
"Economia (Pontifical Catholic University of Peru)","0254-4415","X",NA,NA
"Economia (Portuguese Catholic University)","0870-3531","X",NA,NA
"Economia (Universidad de Los Andes): Nueva Etapa","1315-2467","X",NA,NA
"Economia (University of Brazil)","1517-7580","X",NA,NA
"Economía Agraria","0717-3520","X",NA,NA
"Economía Agraria y Recursos Naturales","1578-0732","X",NA,NA
"Economia Agro-alimentare","1126-1668","X","X",NA
"Economia Aplicada/Brazilian Journal of Applied Economics","1413-8050","X",NA,NA
"Economía Chilena","0717-3830","X","X",NA
"Economia dei Servizi","1970-4860","X",NA,NA
"Economia delle Fonti di Energia e dell'Ambiente/Economics and Policy of Energy and the Environment","2280-7659","X","X",NA
"Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice","1120-7019","X",NA,NA
"Economia e Diritto Agroalimentare","1826-0373","X",NA,NA
"Economia e Lavoro","0012-978X","X",NA,NA
"Economia e Politica Industriale","0391-2078","X",NA,NA
"Economia e Sociedade","0104-0618","X",NA,NA
"Economia e Società Regionale","1827-2479","X",NA,NA
"Economia Industrial","0422-2784","X",NA,NA
"Economia Internazionale","0012-981X","X",NA,NA
"Economia Internazionale/International Economics","2499-8265","X",NA,NA
"Economia Mexicana, Nueva Epoca","0185-0458","X",NA,NA
"Economia Politica","1120-2890","X","X","X"
"Economia Pubblica","0390-6140","X",NA,NA
"Economía y Desarrollo","1692-3901","X",NA,NA
"Economia y Region","1692-8989","X",NA,NA
"Economía: Journal of the Latin American and Caribbean Economic Association","1529-7470","X",NA,NA
"Economia: Seria Management","1454-0320","X",NA,NA
"Economía: Teoría y Práctica","0188-8250","X",NA,NA
"Economía: Teoría y Práctíca","0188-3380","X",NA,NA
"Economic Affairs","0424-2513","X",NA,NA
"Economic Affairs (Institute of Economic Affairs)","0265-0665","X",NA,NA
"Economic Alternatives","1312-5281","X",NA,NA
"Economic Analysis and Policy","0313-5926","X","X","X"
"Economic Analysis and Workers' Management","0351-286X","X",NA,NA
"Economic Analysis of Law Review","2178-0587","X",NA,NA
"Economic and Business Bulletin","0148-6195","X","X",NA
"Economic and Business Review","1580-0466","X",NA,NA
"Economic and Financial Modelling","1350-7419","X",NA,NA
"Economic and Financial Review","1351-3621","X",NA,NA
"Economic and Industrial Democracy","0143-831X","X",NA,NA
"Economic and Labour Relations Review","1035-3046","X","X","X"
"Economic and Social Review","0012-9984","X","X","X"
"Economic Annals","0013-3264","X",NA,NA
"Economic Change and Restructuring","1573-9414","X","X","X"
"Economic Computation and Economic Cybernetics Studies and Research","0424-267X","X",NA,"X"
"Economic Design","0928-5040","X",NA,NA
"Economic Development and Cultural Change","0013-0079","X","X","X"
"Economic Development Quarterly","0891-2424","X","X","X"
"Economic Forum","0195-8550","X",NA,NA
"Economic Geography","0013-0095","X","X","X"
"Economic History Review","0013-0117","X","X","X"
"Economic Inquiry","0095-2583","X","X","X"
"Economic Insights","2574-0989","X",NA,NA
"Economic Insights: Trends and Challenges","2284-8576","X",NA,NA
"Economic Issues","1363-7029","X",NA,NA
"Economic Journal","0013-0133","X","X","X"
"Economic Modelling","0264-9993","X","X","X"
"Economic Notes","0391-5026","X","X",NA
"Economic Outlook","0140-489X","X","X",NA
"Economic Papers","0812-0439","X",NA,NA
"Economic Policy","0266-4658","X","X","X"
"Economic Quality Control","0940-5151","X",NA,NA
"Economic Record","0013-0249","X","X","X"
"Economic Research Guardian","2247-8531","X","X",NA
"Economic Review (Keizai Kenkyu)","0022-9733","X",NA,NA
"Economic Review: Journal of Economics and Business","1512-8962","X",NA,NA
"Economic Studies","0205-3292","X",NA,NA
"Economic Studies Quarterly","0557-109X","X",NA,NA
"Economic Systems","0939-3625","X","X","X"
"Economic Systems Research","0953-5314","X","X","X"
"Economic Theory","0938-2259","X","X","X"
"Economic Thought","0013-2993","X",NA,NA
"Economic Thought: History, Philosophy, and Methodology","2055-6314","X","X",NA
"Economica","0013-0427","X","X","X"
"Econômica (Fluminense Federal University)","1517-1302","X",NA,NA
"Económica (National University of La Plata)","0013-0419","X",NA,NA
"Economics and Business Education","0969-2509","X",NA,NA
"Economics and Business Letters","2254-4380","X",NA,NA
"Economics and Culture","2256-0173","X",NA,NA
"Economics and Human Biology","1570-677X","X",NA,"X"
"Economics and Management","1312-594X","X",NA,NA
"Economics and Philosophy","0266-2671","X","X","X"
"Economics and Policy of Energy and the Environment","1125-1263","X",NA,NA
"Economics and Politics","0954-1985","X","X","X"
"Economics and Sociology","2071-789X","X",NA,NA
"Economics Bulletin","1545-2921","X",NA,NA
"Economics Letters","0165-1765","X","X","X"
"Economics of Agriculture","0352-3462","X",NA,NA
"Economics of Education Review","0272-7757","X","X","X"
"Economics of Energy and Environmental Policy","2160-5882","X","X","X"
"Economics of Governance","1435-6104","X",NA,"X"
"Economics of Innovation and New Technology","1043-8599","X",NA,"X"
"Economics of Peace and Security Journal","1749-852X","X",NA,NA
"Economics of Planning","0013-0451","X",NA,NA
"Economics of Transition","0967-0750","X","X","X"
"Economics of Transition and Institutional Change","2577-6975","X",NA,NA
"Economics of Transportation","2212-0122","X",NA,"X"
"Economics Research International","2090-2123","X",NA,NA
"Economics, Management, and Financial Markets","1842-3191","X",NA,NA
"Economics: The Journal of the Economics Association","0300-4287","X",NA,NA
"Economics: The Open-Access, Open-Assessment E-Journal","1864-6042","X",NA,"X"
"Economie Appliquée","0013-0494","X",NA,NA
"Economie et Institutions","1775-2329","X",NA,NA
"Economie et Prévision","0249-4744","X",NA,NA
"Économie et Statistique","0336-1454","X","X",NA
"Economie Internationale","1240-8093","X",NA,NA
"Économie Publique","1373-8496","X",NA,NA
"Economie Rurale","0013-0559","X",NA,NA
"Economies","2227-7099","X",NA,NA
"Economies et Sociétés","0013-0567","X",NA,NA
"Economisch en Sociaal Tijdschrift","0013-0575","X",NA,NA
"Economists' Voice","2194-6167","X",NA,NA
"Economy and Forecasting","1605-7988","X",NA,NA
"Economy and History","0070-8852","X",NA,NA
"Economy and Society","0308-5147","X","X","X"
"EconoQuantum","1870-6622","X",NA,NA
"Ecos de Economía","1657-4206","X",NA,NA
"Education Economics","0964-5292","X","X",NA
"Education Finance and Policy","1557-3060","X",NA,"X"
"Ege Akademik Bakis/Ege Academic Review","1303-099X","X",NA,NA
"Ege Stratejik Ara&scedil;tirmaler Dergisi/Ege Strategic Research Journal","2149-0465","X",NA,NA
"EIB Papers","0257-7755","X",NA,NA
"eJournal of Tax Research","1448-2398","X","X",NA
"Ekonomia","1025-5508","X",NA,NA
"Ekonomiaz","0213-3865","X",NA,NA
"Ekonomická Revue: Central European Review of Economic Issues","1212-3951","X",NA,NA
"Ekonomicko–Matematicky Obzor","0013-3027","X",NA,NA
"Ekonomický Casopis/Journal of Economics","0013-3035","X","X","X"
"Ekonomie a Management","1212-3609","X",NA,"X"
"Ekonomik Yakla&scedil;im","1300-1868","X",NA,NA
"Ekonomika","0350-137X","X",NA,NA
"Ekonomika (Vilnius University)","1392-1258","X",NA,NA
"Ekonomika APK","2221-1055","X",NA,NA
"Ekonomika preduze&cacute;a","0353-443X","X",NA,NA
"Ekonomiska Samfundets Tidskrift","0013-3183","X","X",NA
"Ekonomska i ekohistorija/Economic- and Ecohistory","1845-5867","X",NA,NA
"Ekonomska Misao i Praksa","1330-1039","X",NA,NA
"Ekonomske ideje i praksa","2217-6217","X",NA,NA
"Ekonomski Horizonti/Economic Horizons","1450-863X","X",NA,NA
"Ekonomski Pregled","0424-7558","X",NA,NA
"Ekonomski Vjesnik","0353-359X","X",NA,NA
