"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,ISSN,Journal Impact Factor,5-Year Impact Factor,Article Influence Score
124,Nature Geoscience,1752-0894,14.391,14.846,7.421
125,Physical Review X,2160-3308,14.385,12.441,6.744
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,14.357,13.613,3.957
127,Annual Review of Physiology,0066-4278,14.327,17.000,7.530
128,NEURON,0896-6273,14.319,16.076,8.380
129,REPORTS ON PROGRESS IN PHYSICS,0034-4885,14.257,16.214,6.880
130,MOLECULAR CELL,1097-2765,14.248,14.703,8.482
131,TRENDS IN IMMUNOLOGY,1471-4906,14.188,13.126,5.461
132,Nature Microbiology,2058-5276,14.174,14.182,7.513
133,PROGRESS IN NEUROBIOLOGY,0301-0082,14.163,13.530,4.211
134,Chem,2451-9294,14.104,14.104,4.870
135,Nature Reviews Nephrology,1759-5061,14.101,12.170,4.594
136,HEPATOLOGY,0270-9139,14.079,11.889,4.025
137,FUNGAL DIVERSITY,1560-2745,14.078,9.409,2.148
138,ANNALS OF ONCOLOGY,0923-7534,13.930,10.573,3.421
139,Annual Review of Entomology,0066-4170,13.860,15.613,4.965
140,Nature Chemical Biology,1552-4450,13.843,13.990,6.564
141,Physics of Life Reviews,1571-0645,13.783,11.067,3.584
142,Annual Review of Physical Chemistry,0066-426X,13.738,16.379,7.108
143,ACS Nano,1936-0851,13.709,14.820,4.045
144,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,13.660,17.280,4.035
145,Light-Science & Applications,2047-7538,13.625,15.141,4.331
146,TRENDS IN BIOTECHNOLOGY,0167-7799,13.578,14.635,3.875
147,REVIEWS OF GEOPHYSICS,8755-1209,13.529,18.286,8.266
148,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,13.439,17.537,6.534
149,DIABETES CARE,0149-5992,13.397,10.740,3.806
150,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,13.396,13.920,5.346
150,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,13.396,13.920,5.346
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,13.333,12.816,7.791
153,ADVANCED FUNCTIONAL MATERIALS,1616-301X,13.325,13.274,3.231
154,Annual Review of Pharmacology and Toxicology,0362-1642,13.295,15.129,5.484
155,Annual Review of Clinical Psychology,1548-5943,13.278,17.900,6.958
155,Annual Review of Clinical Psychology,1548-5943,13.278,17.900,6.958
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,13.258,12.704,3.879
158,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,13.251,14.434,5.996
159,PSYCHOLOGICAL BULLETIN,0033-2909,13.250,21.986,9.010
159,PSYCHOLOGICAL BULLETIN,0033-2909,13.250,21.986,9.010
161,GENOME BIOLOGY,1474-760X,13.214,16.497,8.899
162,Materials Horizons,2051-6347,13.183,12.805,3.148
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,13.122,9.902,3.035
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,13.122,9.902,3.035
165,Nano Energy,2211-2855,13.120,13.619,2.883
166,Applied Physics Reviews,1931-9401,12.894,15.421,4.901
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,12.888,Not Available,Not Available
168,Annual Review of Marine Science,1941-1405,12.867,16.352,6.441
169,Living Reviews in Solar Physics,1614-4961,12.833,18.296,9.569
170,Alzheimers & Dementia,1552-5260,12.764,12.060,3.993
171,INTERNATIONAL MATERIALS REVIEWS,0950-6608,12.703,16.102,4.342
172,Journal of Cachexia Sarcopenia and Muscle,2190-6009,12.511,9.872,2.193
173,Advanced Science,2198-3844,12.441,12.515,3.281
174,Nature Protocols,1754-2189,12.423,15.269,7.546
175,Bone Research,2095-4700,12.354,9.051,1.765
176,Nature Communications,2041-1723,12.353,13.691,5.685
177,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,12.350,11.152,3.812
178,ACS Energy Letters,2380-8195,12.277,12.283,3.867
179,EUROPEAN RESPIRATORY JOURNAL,0903-1936,12.244,9.932,3.027
180,TRENDS IN PLANT SCIENCE,1360-1385,12.149,13.181,4.498
181,TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,12.108,11.890,3.798
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,12.102,11.954,3.376
183,NANO LETTERS,1530-6984,12.080,14.201,4.291
184,BIOLOGICAL PSYCHIATRY,0006-3223,11.984,10.885,3.823
185,HUMAN REPRODUCTION UPDATE,1355-4786,11.852,12.058,4.206
186,TRENDS IN MICROBIOLOGY,0966-842X,11.776,11.149,4.126
187,Annual Review of Biophysics,1936-122X,11.742,13.257,6.501
188,BIOLOGICAL REVIEWS,1464-7931,11.700,11.996,4.459
189,APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,11.698,10.212,1.664
190,PLOS MEDICINE,1549-1676,11.675,14.799,6.582
191,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,11.653,12.028,4.249
192,MOLECULAR PSYCHIATRY,1359-4184,11.640,12.439,4.523
193,STUDIES IN MYCOLOGY,0166-0616,11.633,18.095,4.777
194,DRUG RESISTANCE UPDATES,1368-7646,11.630,11.381,2.924
195,JOURNAL OF PINEAL RESEARCH,0742-3098,11.613,9.584,1.458
196,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,11.611,17.021,8.206
197,NUCLEIC ACIDS RESEARCH,0305-1048,11.561,10.235,4.279
198,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,11.541,10.076,4.186
199,Science Advances,2375-2548,11.511,11.514,5.413
200,Nature Plants,2055-026X,11.471,11.471,5.200
201,JAMA Neurology,2168-6149,11.460,10.421,4.161
202,BIOTECHNOLOGY ADVANCES,0734-9750,11.452,11.848,2.655
203,TRENDS IN NEUROSCIENCES,0166-2236,11.439,13.581,5.521
204,NATURAL PRODUCT REPORTS,0265-0568,11.406,10.801,3.464
205,FEMS MICROBIOLOGY REVIEWS,0168-6445,11.392,14.892,5.137
206,Annual Review of Earth and Planetary Sciences,0084-6597,11.391,11.275,5.486
207,ACS Catalysis,2155-5435,11.384,11.783,2.867
208,Lancet HIV,2352-3018,11.355,12.192,5.548
209,JNCI-Journal of the National Cancer Institute,0027-8874,11.238,12.153,4.998
210,ACS Central Science,2374-7943,11.228,11.235,4.599
211,Autophagy,1554-8627,11.100,11.815,3.585
212,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,0146-6410,11.049,5.682,2.316
213,TRENDS IN MOLECULAR MEDICINE,1471-4914,11.021,11.365,3.930
214,BRAIN,0006-8950,10.848,11.202,4.254
215,JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,10.790,11.929,6.038
216,JAMA Pediatrics,2168-6203,10.769,10.896,4.988
216,TRENDS IN ENDOCRINOLOGY AND METABOLISM,1043-2760,10.769,10.774,4.083
218,PROGRESS IN QUANTUM ELECTRONICS,0079-6727,10.733,9.103,2.509
219,Lancet Haematology,2352-3026,10.698,10.686,5.079
220,EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,10.683,8.086,2.825
221,SLEEP MEDICINE REVIEWS,1087-0792,10.602,10.342,3.326
222,EMBO JOURNAL,0261-4189,10.557,10.345,5.386
223,TRENDS IN GENETICS,0168-9525,10.556,10.875,4.971
224,IEEE Industrial Electronics Magazine,1932-4529,10.429,11.273,3.472
225,PHARMACOLOGY & THERAPEUTICS,0163-7258,10.376,10.562,2.872
226,Journal of Thoracic Oncology,1556-0864,10.340,7.296,2.032
227,EMBO Molecular Medicine,1757-4676,10.293,9.911,3.672
228,ANNALS OF NEUROLOGY,0364-5134,10.250,10.748,4.451
229,JACC-Cardiovascular Imaging,1936-878X,10.247,10.034,3.865
230,AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,10.231,11.341,4.215
231,MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,10.217,14.479,5.511
232,Dialogues in Human Geography,2043-8206,10.214,Not Available,Not Available
233,CLINICAL CANCER RESEARCH,1078-0432,10.199,9.697,3.092
234,SEMINARS IN CANCER BIOLOGY,1044-579X,10.198,10.502,2.797
235,Annual Review of Ecology Evolution and Systematics,1543-592X,10.160,14.664,6.375
236,JAMA Cardiology,2380-6583,10.133,10.133,5.970
237,GENOME RESEARCH,1088-9051,10.101,13.796,8.082
238,LEUKEMIA,0887-6924,10.023,10.214,3.911
239,CURRENT OPINION IN CELL BIOLOGY,0955-0674,10.015,8.512,4.050
240,GENETICS IN MEDICINE,1098-3600,9.937,7.875,3.301
241,Journal of Materials Chemistry A,2050-7488,9.931,9.531,1.868
242,CHEMISTRY OF MATERIALS,0897-4756,9.890,9.842,2.501
243,JACC-Cardiovascular Interventions,1936-8798,9.881,9.500,3.638
244,Annual Review of Microbiology,0066-4227,9.808,12.932,5.347
245,ACTA NUMERICA,0962-4929,9.727,11.414,8.377
246,THORAX,0040-6376,9.655,8.605,2.982
247,DEVELOPMENTAL CELL,1534-5807,9.616,9.611,5.270
248,Small,1613-6810,9.598,9.061,2.196
249,Annual Review of Genetics,0066-4197,9.589,13.295,7.047
250,CLINICAL PSYCHOLOGY REVIEW,0272-7358,9.577,11.855,4.052
251,Annual Review of Phytopathology,0066-4286,9.528,11.484,3.846
252,MASS SPECTROMETRY REVIEWS,0277-7037,9.526,8.248,2.528
253,Annual Review of Food Science and Technology,1941-1413,9.523,9.852,2.404
254,ISME Journal,1751-7362,9.520,11.663,3.664
255,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,9.504,10.359,4.531
256,Annual Review of Public Health,0163-7525,9.491,11.762,5.033
256,Annual Review of Public Health,0163-7525,9.491,11.762,5.033
258,GENES & DEVELOPMENT,0890-9369,9.462,10.567,6.040
259,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,9.455,13.229,4.713
260,National Science Review,2095-5138,9.408,10.973,4.198
261,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,0144-235X,9.406,7.234,2.776
262,Nanoscale Horizons,2055-6756,9.391,9.391,2.452
263,NEURO-ONCOLOGY,1522-8517,9.384,8.655,2.682
264,Epilepsy Currents,1535-7597,9.333,5.411,1.594
265,SPACE SCIENCE REVIEWS,0038-6308,9.327,8.622,4.279
266,Molecular Plant,1674-2052,9.326,8.065,2.718
267,PROGRESS IN SOLID STATE CHEMISTRY,0079-6786,9.313,8.286,1.723
268,Perspectives on Psychological Science,1745-6916,9.305,12.114,5.616
269,Academy of Management Annals,1941-6520,9.281,17.129,8.618
269,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,9.281,11.264,5.210
271,IEEE COMMUNICATIONS MAGAZINE,0163-6804,9.270,10.954,3.332
272,CURRENT BIOLOGY,0960-9822,9.251,9.972,4.758
273,Cold Spring Harbor Perspectives in Biology,1943-0264,9.247,12.208,5.634
274,IMMUNOLOGICAL REVIEWS,0105-2896,9.217,10.006,3.990
275,npj Quantum Information,2056-6387,9.206,9.206,5.103
276,ANNALS OF SURGERY,0003-4932,9.203,9.097,3.163
277,IEEE WIRELESS COMMUNICATIONS,1536-1284,9.202,9.100,2.966
278,Cancer Immunology Research,2326-6066,9.188,9.713,3.586
279,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,9.184,10.093,1.734
280,PLOS BIOLOGY,1545-7885,9.163,9.527,4.473
281,ECOLOGY LETTERS,1461-023X,9.137,11.775,4.719
282,Microbiome,2049-2618,9.133,10.903,3.825
283,CANCER RESEARCH,0008-5472,9.130,9.578,3.022
284,CLINICAL INFECTIOUS DISEASES,1058-4838,9.117,8.970,3.573
285,PROCEEDINGS OF THE IEEE,0018-9219,9.107,9.846,3.277
286,HAEMATOLOGICA,0390-6078,9.090,7.012,2.675
287,BMC Medicine,1741-7015,9.088,9.410,3.335
288,Chemical Science,2041-6520,9.063,8.757,2.695
289,Annual Review of Cell and Developmental Biology,1081-0706,9.032,17.691,8.826
290,PROGRESS IN SURFACE SCIENCE,0079-6816,9.000,7.231,2.524
291,GLOBAL CHANGE BIOLOGY,1354-1013,8.997,9.791,3.307
292,Cell Systems,2405-4712,8.982,8.982,6.391
293,AGEING RESEARCH REVIEWS,1568-1637,8.973,8.974,2.569
294,npj Computational Materials,2057-3960,8.941,8.941,3.219
295,Genome Medicine,1756-994X,8.898,8.265,3.534
296,Annual Review of Nutrition,0199-9885,8.886,9.871,3.765
297,ACADEMY OF MANAGEMENT REVIEW,0363-7425,8.855,13.277,6.392
297,AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,8.855,10.085,5.240
299,Reviews in Mineralogy & Geochemistry,1529-6466,8.846,7.565,3.521
300,PHYSICAL REVIEW LETTERS,0031-9007,8.839,7.888,3.190
301,Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,8.836,17.237,5.670
302,BIOMATERIALS,0142-9612,8.806,9.315,1.960
303,IEEE Transactions on Cybernetics,2168-2267,8.803,8.775,2.572
304,Advances in Experimental Social Psychology,0065-2601,8.800,9.979,5.140
305,Earth System Science Data,1866-3508,8.792,8.414,4.119
306,Annual Review of Biomedical Engineering,1523-9829,8.788,16.165,4.994
307,JOURNAL OF CELL BIOLOGY,0021-9525,8.784,9.567,4.765
308,Annual Review of Analytical Chemistry,1936-1327,8.756,8.892,3.005
309,EMBO REPORTS,1469-221X,8.749,9.127,4.247
310,AUTOIMMUNITY REVIEWS,1568-9972,8.745,7.733,2.067
311,ALDRICHIMICA ACTA,0002-5100,8.727,8.310,2.839
312,Journal of Physical Chemistry Letters,1948-7185,8.709,8.480,2.684
313,Acta Crystallographica Section C-Structural Chemistry,2053-2296,8.678,2.956,0.555
314,Annual Review of Genomics and Human Genetics,1527-8204,8.676,9.485,5.048
315,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,8.655,9.010,3.295
316,CLINICAL CHEMISTRY,0009-9147,8.636,7.941,2.605
317,Health Psychology Review,1743-7199,8.597,8.699,2.866
318,GREEN CHEMISTRY,1463-9262,8.586,8.717,1.580
319,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,0067-0049,8.561,9.663,4.383
320,Theranostics,1838-7640,8.537,9.009,1.996
321,Laser & Photonics Reviews,1863-8880,8.529,9.749,3.207
322,SYSTEMATIC BIOLOGY,1063-5157,8.523,14.501,5.554
323,Molecular Systems Biology,1744-4292,8.500,9.537,5.053
324,JAMA Surgery,2168-6254,8.498,7.699,3.402
325,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,8.488,9.810,2.333
326,Obesity Reviews,1467-7881,8.483,9.583,3.386
327,ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,8.440,9.873,2.893
328,PROGRESS IN LIPID RESEARCH,0163-7827,8.435,10.513,3.147
329,KIDNEY INTERNATIONAL,0085-2538,8.429,8.796,3.065
330,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,8.415,9.340,2.432
331,CURRENT OPINION IN BIOTECHNOLOGY,0958-1669,8.380,8.180,2.445
332,Journal for ImmunoTherapy of Cancer,2051-1426,8.374,Not Available,Not Available
333,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,0300-5771,8.360,10.177,4.560
334,European Heart Journal-Cardiovascular Imaging,2047-2404,8.336,6.167,2.101
335,MOVEMENT DISORDERS,0885-3185,8.324,7.523,2.255
336,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,8.302,10.898,3.864
337,MEDICINAL RESEARCH REVIEWS,0198-6325,8.290,8.683,2.087
338,Translational Stroke Research,1868-4483,8.266,5.411,1.146
339,REVIEW OF EDUCATIONAL RESEARCH,0034-6543,8.241,10.129,3.750
340,PLANT CELL,1040-4651,8.228,9.378,3.476
341,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,8.220,8.901,2.312
342,JACC-Heart Failure,2213-1779,8.202,9.045,4.288
343,PERSOONIA,0031-5850,8.182,8.453,2.302
344,BIOSENSORS & BIOELECTRONICS,0956-5663,8.173,7.291,1.230
345,MATRIX BIOLOGY,0945-053X,8.136,6.247,1.815
346,Blood Cancer Journal,2044-5385,8.125,6.122,2.114
347,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,8.124,8.481,2.264
348,CANCER TREATMENT REVIEWS,0305-7372,8.122,7.898,2.088
349,JAMA Dermatology,2168-6068,8.107,7.256,2.423
350,ACS Applied Materials & Interfaces,1944-8244,8.097,8.284,1.634
351,Nature Reviews Urology,1759-4812,8.089,7.335,2.287
352,JOURNAL OF MANAGEMENT,0149-2063,8.080,12.043,4.705
353,NEUROLOGY,0028-3878,8.055,8.716,3.175
354,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,8.037,10.016,3.280
355,Cell Reports,2211-1247,8.032,8.700,4.701
356,CELL DEATH AND DIFFERENTIATION,1350-9047,8.000,7.999,2.640
357,Nano Research,1998-0124,7.994,8.045,1.788
358,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,7.982,7.658,2.453
359,JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,7.955,7.163,2.708
360,CURRENT OPINION IN IMMUNOLOGY,0952-7915,7.932,7.430,2.973
361,Acta Crystallographica A-Foundation and Advances,2053-2733,7.930,4.227,1.209
362,TRENDS IN PARASITOLOGY,1471-4922,7.929,7.178,2.429
363,IEEE Transactions on Cloud Computing,2168-7161,7.928,Not Available,Not Available
364,APPLIED ENERGY,0306-2619,7.900,7.888,1.310
365,JOURNAL OF CONTROLLED RELEASE,0168-3659,7.877,8.683,1.795
366,Arthritis & Rheumatology,2326-5191,7.873,7.877,2.951
367,BRITISH JOURNAL OF SPORTS MEDICINE,0306-3674,7.867,7.462,2.071
368,QUARTERLY JOURNAL OF ECONOMICS,0033-5533,7.863,12.184,20.155
369,Applied Mechanics Reviews,0003-6900,7.848,8.886,3.133
370,ECOLOGICAL MONOGRAPHS,0012-9615,7.828,9.942,3.861
371,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,7.804,10.944,4.933
372,Molecular Cancer,1476-4598,7.776,6.976,1.561
373,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1619-7070,7.704,6.553,1.732
374,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,7.683,6.996,1.519
374,Clinical Gastroenterology and Hepatology,1542-3565,7.683,7.356,2.820
376,Annual Review of Chemical and Biomolecular Engineering,1947-5438,7.674,8.379,2.629
376,METABOLIC ENGINEERING,1096-7176,7.674,7.418,2.052
