Review of Environmental Economics and Policy,2020-2020
An Annual Book of University of Economics - Varna,2009-2018
"INTERNATIONAL SCIENTIFIC AND PRACTICAL CONFERENCE ""CONSTRUCTION ENTREPRENEURSHIP AND REAL PROPERTY""",2019-2019
SUSTAINABLE HUMAN RESOURCE MANAGEMENT IN THE CONTEMPORARY ECONOMIC REALITY,2019-2019
Ars Aequi,2011-2019
East Asian Policy (EAP),2015-2020
Global Economy Journal (GEJ),2012-2020
"Journal of Economics, Management and Religion (JEMAR)",2020-2020
"Journal of Financial Management, Markets and Institutions (JFMMI)",2018-2020
The International Journal of Accounting (TIJA),2019-2020
Cultural Communication and Socialization Journal (CCSJ),2020-2020
Food & Agribusiness Management (FABM),2020-2020
Sustainability in Food and Agriculture (SFNA),2020-2020
Tropical Agrobiodiversity (TRAB),2020-2020
Tropical Agroecosystems (TAEC),2020-2020
,
,
,
,
Journal,Coverage
Abacus,1998-2020
Ab Aeterno,(FULL)
Abante,1998-2014 (FULL)
"Abstractÿof Economic, Finance and Management Outlook",2013-2016 (FULL)
AcademicÿJournal of Applied Mathematical Sciences,2015-2020 (FULL)
AcademicÿJournal of Economic Studies,2015-2020 (FULL)
AcademicÿReview of Humanities and Social Sciences,2018-2019 (FULL)
"AcademicaÿScience Journal, Economica Series",2012-2015 (FULL)
AcademicaÿTuristica - Tourism and Innovation Journal,2010-2019
AcademicusÿInternational Scientific Journal,2010-2020
????. ??????. ?????ÿAccounting.ÿAnalysis. Auditing,2016-2020
Accountingÿand Business Research,1996-2020
Accountingÿand Finance,2001-2020
Accountingÿand Finance,2012-2020
Accountingÿ& Taxation,2009-2020
"Accounting,ÿAuditing & Accountability Journal",2007-2020
"Accounting,ÿEconomics, and Law: A Convivium",2011-2020 (FULL)
AccountingÿEducation,1998-2020
Accountingÿforum,2008-2018
AccountingÿForum,1999-2020
AccountingÿHistory Review,1997-2020
Accountingÿin Europe,2005-2020
"Accounting,ÿOrganizations and Society",1976-2020 (FULL)
AccountingÿPerspectives,2007-2020
AccountingÿResearch Journal,2007-2020
ActaÿAgronomica Ovariensis,2007-2009
ActaÿCarolus Robertus,2011-2020 (FULL)
ActaÿEconomica Et Turistica,2015-2019 (FULL)
ActaÿInformatica Pragensia,2012-2020
ActaÿOeconomica,2011-2019
ActaÿOeconomica et Informatica,2012-2013
ActaÿOeconomica Pragensia,2004-2019
ActaÿUniversitatis Bohemiae Meridionales,1998-2018 (FULL)
ActaÿUniversitatis Danubius. OEconomica,2005-2018
"ActaÿUniversitatis Nicolai Copernici, Ekonomia",2009-2016
"ActaÿUniversitatis Sapientiae, Economics and Business",2013-2020 (FULL)
ACTAÿVSFS,2008-2020
ActionÿLearning: Research and Practice,2004-2020 (FULL)
LÿActualit‚ÿEconomique,1973-2017
Administration,2015-2020
AdministrativeÿConsulting,2018-2020
AdministrativeÿSciences,2010-2020 (FULL)
AdvancedÿLogistic systems,2007-2014 (FULL)
Advancesÿin accounting,2013-2020
Advancesÿin Complex Systems ACS),1998-2020
Advancesÿin Data Analysis and Classification,2008-2020
Advancesÿin Decision Sciences,2018-2020
AdvancesÿIn Management,2009-2013
Advancesÿin Management and Applied Economics,2011-2020 (FULL)
AEA Papersÿand Proceedings,2018-2020
AEI EconomicÿPerspectives,2012-2019
AFBMÿJournal,2004-2019 (FULL)
AfricaÿSpectrum,1997-2017
AfricagrowthÿAgenda,2016-2020
AfricanÿDevelopment Review,2011-2020
AfricanÿDevelopment Review,1989-2014 (FULL)
TheÿAfricanÿFinance Journal,2003-2019
"AfricanÿJournal of Accounting, Auditing and Finance",2012-2020 (FULL)
AfricanÿJournal of Agricultural and Resource Economics,2006-2019 (FULL)
AfricanÿJournal of Economic and Management Studies,2010-2020 (FULL)
AfricanÿJournal of Economic and Sustainable Development,2012-2020 (FULL)
AfricanÿJournal of Economic Review,2013-2020 (FULL)
AfricanÿJournal of Frontiers of Economics and Mathematics,2016-2016 (FULL)
AfricanÿJournal of Rural Development AFJRD),2016-2019 (FULL)
Afro-AsianÿJournal of Finance and Accounting,2008-2020 (FULL)
Agendaÿ- A Journal of Policy Analysis and Reform,1994-2018
AgLetter,1995-2019
AgrarianÿSouth: Journal of Political Economy,2012-2020 (FULL)
Agrarwirtschaftÿund Agrarsoziologie\ Economie et Sociologie Rurales,2003-2005
Agrekon,1962-2010
Agrekon,2012-2020
Agribusiness,1985-2020
AGRICOLTURAÿISTITUZIONI MERCATI,2004-2018
Agriculturalÿand Food Economics,2013-2020
Agriculturalÿand Resource Economics: International Scientific E-Journal,2015-2020 (FULL)
Agriculturalÿand Resource Economics Review,1993-2015
Agriculturalÿand Resource Economics Review,1993-2020
AgriculturalÿDevelopment,2015-2018 (FULL)
AgriculturalÿEconomics,1986-2004 (FULL)
AgriculturalÿEconomics,1986-2020 (FULL)
AgriculturalÿEconomics and Rural Development,2008-2019
AgriculturalÿEconomics Research Review,1989-2020
AgriculturalÿEconomics Review,2000-2017 (FULL)
AgriculturalÿFinance Review,2007-2020
AgriculturalÿLetter,1991-2012
AgriculturalÿLetter,1947-1994
AgriculturalÿSystems,1976-2020 (FULL)
AgriculturalÿWater Management,1976-2020 (FULL)
Agriculture,2011-2020 (FULL)
Agricultureÿand Development Notes,2011-2020 (FULL)
Agricultureÿand Human Values,1984-2020 (FULL)
AGRISÿon-line Papers in Economics and Informatics,2009-2020
AgroeconomiaÿCroatica,2012-2018
AlgorithmicÿFinance,2011-2014 (FULL)
Almanacÿof PhD Students,2016-2019
AlmanachÿActual Issues in World Economics and Politics),2006-2014 (FULL)
AlphanumericÿJournal,2013-2020 (FULL)
"AmberÿWaves:The Economics of Food, Farming, Natural Resources, and Rural America",2003-2020
AmericanÿEconomic Journal: Applied Economics,2009-2020 (FULL)
AmericanÿEconomic Journal: Economic Policy,2009-2020 (FULL)
AmericanÿEconomic Journal: Macroeconomics,2009-2020 (FULL)
AmericanÿEconomic Journal: Microeconomics,2009-2020 (FULL)
AmericanÿEconomic Review,1969-2020
AmericanÿEconomic Review: Insights,2019-2020 (FULL)
TheÿAmericanÿEconomist,1960-2020
AmericanÿJournal of Agricultural Economics,1919-2019
AmericanÿJournal of Agricultural Economics APPENDICES,2006-2010
AmericanÿJournal of Business,2007-2020
AmericanÿJournal of Economics and Business Administration,2009-2020 (FULL)
AmericanÿJournal of Economics and Sociology,1941-2020
AmericanÿJournal of Finance and Accounting,2008-2020 (FULL)
AmericanÿJournal of Health Economics,2015-2019 (FULL)
AmericanÿJournal of Health Economics,2015-2020 (FULL)
AmericanÿJournal of Political Science,2003-2020
AmericanÿJournal of Public Health,1971-2018
AmericanÿJournal of Social Sciences and Humanities,2016-2018 (FULL)
AmericanÿJournal of Trade and Policy,2014-2019
AmericanÿLaw and Economics Review,1999-2019 (FULL)
AmericanÿPolitical Science Review,1906-2020 (FULL)
TheÿAmericanÿStatistician,2001-2011
TheÿAmericanÿStatistician,2012-2020 (FULL)
TheÿAMFITEATRUÿECONOMIC journal,2004-2020
AMS Review,2011-2020 (FULL)
AnadoluÿUniversity Journal of Social Sciences,2002-2013
Anale.ÿSeria Stiinte Economice. Timisoara,2012-2013
AnaleleÿStiintifice ale Universitatii Alexandru Ioan Cuza din Iasi - Stiinte Economice,2005-2020
AnalisiÿGiuridica dell Economia,2002-2020
An lisisÿ- Revista del Mercado de Valores,2010-2010
Anal¡tika,2011-2014
Analyseÿet synthŠse,2011-2020
AngeloÿCosta Lectures Serie,2000-2012 (FULL)
Annales.ÿEthics in Economic Life,2011-2017
AnnalesÿUniversitatis Apulensis Series Oeconomica,2006-2020 (FULL)
Annalsÿ- Economic and Administrative Series -,2009-2013
Annalsÿ- Economy Series,2009-2020 (FULL)
Annalsÿ- Juridical Science Series,2009-2011 (FULL)
Annalsÿof Actuarial Science,2006-2020 (FULL)
Annalsÿof Corporate Governance,2016-2020 (FULL)
Annalsÿof Data Science,2016-2020
"TheÿAnnalsÿof Dimitrie Cantemir Christian University. Economy, Commerce and Tourism Series",2010-2012
Annalsÿof Economics and Finance,2000-2020 (FULL)
Annalsÿof Economics and Statistics,1986-2020 (FULL)
Annalsÿof Faculty of Economics,2008-2019 (FULL)
Annalsÿof Finance,2005-2020 (FULL)
Annalsÿof Financial Economics AFE),2005-2020
Annalsÿof marketing-mba,2010-2020 (FULL)
Annalsÿof Operations Research,1997-2020
Annalsÿof Public and Cooperative Economics,1925-2020
TheÿAnnalsÿof Regional Science,1984-2020
Annalsÿof Social Sciences & Management studies,2018-2019 (FULL)
"Annalsÿof Spiru Haret University, Economic Series",2009-2020 (FULL)
"Annalsÿof the Fondazione Luigi Einaudi. An Interdisciplinary Journal of Economics, History and Political Science",2017-2020
Annalsÿof the Institute of Statistical Mathematics,1949-2020
TheÿAnnalsÿof the Stefan cel Mare University of Suceava. Fascicle of The Faculty of Economics and Public Administration,2008-2011
"Annalsÿof the University of Craiova for Journalism, Communication and Management",2015-2019 (FULL)
"Annalsÿof the University of Petrosani, Economics",2001-2015 (FULL)
Annalsÿof Tourism Research,2014-2020
Annalsÿof University of Craiova - Economic Sciences Series,2008-2019
AnnualÿProceedings,1991-2018
AnnualÿReport,1989-2011
AnnualÿReport,1997-2002
AnnualÿReport,1983-2014
AnnualÿReport,1990-2015
AnnualÿReport,1974-2007
AnnualÿReport,1998-2017
AnnualÿReport,1995-2015
AnnualÿReport,1995-2017
AnnualÿReport Domestic Open Market Operations,1996-2005 (FULL)
"AnnualÿReport, Globalization and Monetary Policy Institute",2008-2016
AnnualÿReview of Economics,2009-2018 (FULL)
AnnualÿReview of Financial Economics,2009-2018 (FULL)
AnnualÿReview of Resource Economics,2009-2018 (FULL)
AntitrustÿChronicle,2006-2015
"AnuarulÿUniversitatii ?Petre Andrei? din Iasi Year-Book ?Petre Andrei? University from Iasi, Fascicula: Asistenta Sociala, Sociologie, Psihologie Fascicle: Social Work, Sociology, Psychology",2010-2016
"AnuarulÿUniversitatii ?Petre Andrei? din Iasi Year-Book ?Petre Andrei? University from Iasi, Fascicula: Drept, Stiinte Economice, Stiinte Politice Fascicle: Law, Economic Sciences, Political Scien",2010-2017
AppliedÿEconometrics,2006-2020
AppliedÿEconometrics and International Development,2001-2020 (FULL)
AppliedÿEconometrics Papers,2014-2015 (FULL)
AppliedÿEconomic Perspectives and Policy,2010-2019
AppliedÿEconomics,1997-2020
AppliedÿEconomics and Finance,2014-2020 (FULL)
AppliedÿEconomics Journal,2011-2016
AppliedÿEconomics Letters,1987-2020 (FULL)
AppliedÿEconomics Quarterly formerly: Konjunkturpolitik),2006-2013
AppliedÿEconomics Quarterly formerly: Konjunkturpolitik),2014-2019
AppliedÿEconomics Teaching Resources AETR),2019-2020 (FULL)
AppliedÿEnergy,1975-2020
AppliedÿFinance and Accounting,2015-2020 (FULL)
AppliedÿFinancial Economics,1997-2014 (FULL)
AppliedÿFinancial Economics Letters,2005-2008 (FULL)
AppliedÿHealth Economics and Health Policy,2008-2020
AppliedÿMathematical Finance,1994-2019
AppliedÿMathematics and Computation,2014-2021
AppliedÿResearch in Quality of Life,2016-2020
AppliedÿStochastic Models and Data Analysis,1985-1999 (FULL)
AppliedÿStochastic Models in Business and Industry,1999-2020
APSTRACT:ÿApplied Studies in Agribusiness and Commerce,2007-2018
Apuntes.ÿRevista de ciencias sociales,1973-2019 (FULL)
Arbeit,1992-2020
ARGOMENTI,2001-2014
Argomenti,2015-2018 (FULL)
ARS ADMINISTRANDI,2010-2016
Arteÿy sociedad. Revista de investigaci¢n,2011-2019
ArthaÿVijnana,2013-2015
Asiaÿand the Pacific Policy Studies,2014-2020 (FULL)
AsiaÿEurope Journal,2004-2020
AsiaÿFocus,2005-2018 (FULL)
AsiaÿPacific Business Review,1996-2020
AsiaÿPacific Journal of Public Administration,2004-2020
AsianÿAcademy of Management Journal AAMJ),1996-1996
AsianÿAcademy of Management Journal of Accounting and Finance AAMJAF),2005-2020 (FULL)
AsianÿAgricultural Research,2009-2020 (FULL)
AsianÿBulletin of Energy Economics and Technology,2014-2018 (FULL)
AsianÿBusiness Review,2012-2020
AsianÿCase Research Journal ACRJ),2001-2020
AsianÿDevelopment Policy Review,2013-2020 (FULL)
AsianÿDevelopment Review,2005-2012
AsianÿDevelopment Review,2013-2020
AsianÿEconomic and Financial Review,2011-2020 (FULL)
AsianÿEconomic Journal,2003-2020
AsianÿEconomic Papers,2002-2020 (FULL)
AsianÿEconomic Policy Review,2006-2020 (FULL)
AsianÿJournal of Agriculture and Development,2004-2020 (FULL)
AsianÿJournal of Agriculture and Development,2004-2020
AsianÿJournal of Agriculture and rural Development,2012-2020 (FULL)
AsianÿJournal of Agriculture and Rural Development,2011-2015 (FULL)
AsianÿJournal of Economic Modelling,2013-2020 (FULL)
AsianÿJournal of Economics and Empirical Research,2014-2020 (FULL)
AsianÿJournal of Empirical Research,2012-2020 (FULL)
AsianÿJournal of Law and Economics,2010-2020 (FULL)
AsianÿJournal of Public Administration and Law,2018-2020
AsianÿJournal of Social Sciences and Management Studies,2014-2020 (FULL)
AsianÿJournal of Sustainability and Social Responsibility,2016-2020 (FULL)
AsianÿReview of Accounting,2007-2020
AsianÿSocial Science,2016-2016
AsianÿThemes in Social Sciences Research,2018-2019 (FULL)
Asian-PacificÿEconomic Literature,1987-2020
Asia-PacificÿDevelopment Journal,2005-2017
Asia-PacificÿFinancial Markets,1997-2020
Asia-PacificÿJournal of Accounting & Economics,2010-2020
AsiaÿPacific Journal of Management,1991-2020
Asia-PacificÿJournal of Operational Research APJOR),2004-2020
Asia-PacificÿJournal of Regional Science,2017-2020 (FULL)
Asia-PacificÿJournal of Risk and Insurance,2005-2020 (FULL)
Asia-PacificÿPopulation Journal,1986-2016
Asia-PacificÿSustainable Development Journal,2018-2020
AStAÿAdvances in Statistical Analysis,2005-2020
AStAÿWirtschafts- und Sozialstatistisches Archiv,2007-2020 (FULL)
ASTINÿBulletin,1958-2020 (FULL)
AthensÿJournal of Business & Economics,2015-2020 (FULL)
AtlanticÿEconomic Journal,1997-2020
EconomicÿAnalysisÿWorking Papers 2002-2010). Atlantic Review of Economics 2011-2016),2002-2017
TheÿAuditÿFinanciar journal,2016-2020
Aussenwirtschaft,2002-2019
AustralasianÿAgribusiness Review,2000-2019
AustralasianÿJournal of Economics Education AJEE),2004-2005 (FULL)
Australasianÿmarketing journal,2008-2020
AustralianÿAccounting Review,1991-2020
Australianÿ& New Zealand Journal of Statistics,2002-2020
AustralianÿBulletin of Labour,2001-2016
AustralianÿEconomic History Review,2003-2020
AustralianÿEconomic Papers,1969-2020
AustralianÿEconomic Review,1968-2020
AustralianÿJournal of Agricultural and Resource Economics,1957-2020
AustralianÿJournal of Agricultural and Resource Economics,1997-2017
AustralianÿJournal of Agricultural Economics,1957-1996
AustralianÿJournal of Labour Economics AJLE),2000-2020
AustralianÿJournal of Management,1976-2020
AustrianÿEconomic Quarterly,1996-2013 (FULL)
AWG-SFÿStrategic Response Fund ASRF) Learning Notes,2017-2017
,
,
,
,
Journal,Coverage
In theÿBalance,2012-2020 (FULL)
BalancedÿNature Using,2012-2019
BalkanÿRegion Conference on Engineering and Business Education,2014-2019 (FULL)
BalticÿJournal of Economics,2002-2019
BalticÿJournal of Economic Studies,2015-2020 (FULL)
BalticÿJournal of European Studies,2013-2020
BalticÿJournal of Real Estate Economics and Construction Management,2015-2020
BancaÿImpresa Societ…,1997-2020
BancaÿNazionale del Lavoro Quarterly Review,1967-2013
BANCARIA,2006-2020
BangladeshÿDevelopment Studies,1995-2018
BangladeshÿJournal of Agricultural Economics,1978-2020
Bankÿi Kredyt,2008-2020
Bankÿof Canada Review,1994-2017
Bankÿof England Quarterly Bulletin,2009-2019
"Bankers,ÿMarkets & Investors",2014-2016
Bankingÿand Community Perspectives,1995-2012
BankingÿPolicy Review,2015-2016 (FULL)
BankingÿTrends,2015-2020 (FULL)
BANWA:ÿA Multidisciplinary Journal,2008-2009
BasicÿIncome Studies,2006-2020 (FULL)
TheÿB.E.ÿJournal of Economic Analysis & Policy,2001-2020 (FULL)
TheÿB.E.ÿJournal of Macroeconomics,2001-2020 (FULL)
TheÿB.E.ÿJournal of Theoretical Economics,2001-2020 (FULL)
BehavioralÿEcology,2002-2020
BehaviouralÿPublic Policy,2017-2020 (FULL)
BellÿJournal of Economics,1970-1983 (FULL)
Beyondÿthe Numbers,2015-2017
BIFECÿBook of Abstracts & Proceedings,2014-2014 (FULL)
BingolÿUniversity Journal of Economics and Administrative Sciences,2018-2020
Bio-basedÿand Applied Economics Journal,2012-2020
Biometrics,1999-2020
Biometrika,2002-2020
BiophysicalÿEconomics and Resource Quality,2016-2020 (FULL)
Biostatisticsÿand Biometrics Open Access Journal,2016-2018 (FULL)
BIS QuarterlyÿReview,2000-2020
BizEconsÿQuarterly,2017-2020 (FULL)
BNL QuarterlyÿReview,1967-2013
"BogaziciÿJournal, Review of Social, Economic and Administrative Studies",2007-2020
Bolet¡n,2000-2018
Bolet¡nÿEcon¢mico,1999-2020
BorderÿCrossing,2011-2019
BorsaÿIstanbul Review,2013-2019
"BRAND.ÿBroad Research in Accounting, Negotiation, and Distribution",2010-2016
BrazilianÿBusiness Review,2004-2019
BrazilianÿElectronic Journal of Economics,1997-2004 (FULL)
BrazilianÿJournal of Political Economy,1981-2020 (FULL)
BrazilianÿJournal of Rural Economy and Sociology Revista de Economia e Sociologia Rural-RESR),1979-2017
BrazilianÿReview of Econometrics,1981-2020 (FULL)
Revista de Economia e Agroneg¢cioÿBrazilianÿReview of Economics and Agribusiness,2003-2017
BrazilianÿReview of Finance,2003-2016 (FULL)
Bridges,2013-2019
Federal ReserveÿBankÿof Atlanta Brief,2002-2002
Briefs,2018-2020
TheÿBritishÿAccounting Review,2018-2020
BritishÿActuarial Journal,1995-2020 (FULL)
BritishÿJournal of Industrial Relations,1990-2020
BritishÿJournal of Political Science,1971-2020 (FULL)
BrookingsÿPapers on Economic Activity,1970-2018
BrusselsÿEconomic Review,1958-2014
BuletinÿStiintific - Scientific Bulletin,2010-2013
MNBÿBulletinÿdiscontinued),2006-2014 (FULL)
Bulletinÿde droit nucl‚aire,2005-2014
Bulletinÿde la Banque de France,2003-2020
Quarterly selection of articles -ÿBulletinÿde la Banque de France,2006-2018
Bulletinÿde l Observatoire des politiques ‚conomiques en Europe,1999-2020
"Bulletin:ÿEconomics, Organisation and Informatics in Healthcare",2011-2012
Bulletinÿof Applied Economics,2014-2020 (FULL)
Bulletinÿof Business and Economics BBE),2012-2020 (FULL)
Bulletinÿof Economic Research,1970-2020
Bulletinÿof Energy Economics BEE),2013-2016 (FULL)
Bulletinÿof Economic Theory and Analysis,2016-2019 (FULL)
Bulletinÿof Geography. Socio-economic Series,2008-2020
Bulletinÿof Indonesian Economic Studies,1997-2020
Bulletinÿof Monetary Economics and Banking,1998-2020 (FULL)
Bulletinÿof Taras Shevchenko National University of Kyiv. Economics. ?????? ??i??????? ???i????????? ??i????????? i?. ?????? ????????. ???i?: ??????i??,2008-2016
CRIS -ÿBulletinÿof the Centre for Research and Interdisciplinary Study,2012-2016
Bulletinÿof the Czech Econometric Society,1995-2014
BurgundyÿBooks,2008-2016
Businessÿand Economic Horizons BEH),2010-2018
Businessÿand Economic Horizons BEH),2010-2019
Businessÿand Economic Research,2012-2020
Businessÿ& Economic Review,2009-2019
Businessÿand Economics Research Journal,2010-2020 (FULL)
Businessÿ& Entrepreneurship Journal,2012-2019 (FULL)
Businessÿand Human Rights Journal,2016-2020 (FULL)
Businessÿ& Information Systems Engineering: The International Journal of WIRTSCHAFTSINFORMATIK,2009-2020 (FULL)
Business&Leadership,2008-2012 (FULL)
Businessÿand Management Horizons,2013-2017 (FULL)
Businessÿand Management Studies,2015-2020 (FULL)
Businessÿand Politics,1999-2016
Businessÿand Politics,1999-2020
BusinessÿEconomics,2005-2020
BusinessÿEducation and Accreditation,2009-2019
BusinessÿEthics Quarterly,1991-2020 (FULL)
Poslovna izvrsnostÿBusinessÿExcellence,2016-2018
BusinessÿExcellence and Management,2011-2020 (FULL)
BusinessÿFrontier,1998-2004
BusinessÿHistory,1997-2020
BusinessÿHistory Review,2008-2010
BusinessÿHistory Review,1926-2020 (FULL)
BusinessÿHorizons,1958-2020 (FULL)
BusinessÿInform,2012-2014
BusinessÿLogistics in Modern Management,2008-2020
BusinessÿManagement,2011-2020
"Business,ÿManagement and Economics Research",2015-2020 (FULL)
BusinessÿManagement and Strategy,2018-2020
BusinessÿResearch,2016-2020
BusinessÿReview,1975-2015
BusinessÿStrategy and the Environment,1992-2020
BusinessÿSystems Research,2010-2020 (FULL)
BusseconÿReview of Finance & Banking 2687-2501),2019-2020 (FULL)
BusseconÿReview of Social Sciences 2687-2285),2019-2020 (FULL)
,
,
,
,
Journal,Coverage
"CAFRI:ÿCurrent Agriculture, Food and Resource Issues",2000-2008 (FULL)
Cahiersÿd Economie et de Sociologie Rurales CESR),1984-2007
Cahiersÿd Economie et Sociologie Rurales,1984-2007
Cahiersÿd conomie Politique,1974-2001
Cahiersÿd?‚conomie politique Papers in Political Economy,2002-2015
CambridgeÿJournal of Economics,1977-2019 (FULL)
"CambridgeÿJournal of Regions, Economy and Society",2007-2020 (FULL)
CanadianÿJournal of Agricultural Economics Revue canadienne d agroeconomie,1952-2020
CanadianÿJournal of Economics,1968-2019 (FULL)
